"Soort misdrijf";"Perioden";"Regio's";"Geregistreerde misdrijven (aantal)"
"Totaal misdrijven";"2022 september";"Nederland";"   66456"
"Totaal misdrijven";"2022 oktober";"Nederland";"   74524"
"Totaal misdrijven";"2022 november";"Nederland";"   71470"
"Totaal misdrijven";"2022 december";"Nederland";"   66659"
"Totaal misdrijven";"2023 januari";"Nederland";"   70814"
"Totaal misdrijven";"2023 februari";"Nederland";"   63102"
"Totaal misdrijven";"2023 maart";"Nederland";"   67741"
"Totaal misdrijven";"2023 april";"Nederland";"   64055"
"Totaal misdrijven";"2023 mei";"Nederland";"   67481"
"Totaal misdrijven";"2023 juni";"Nederland";"   68955"
"Totaal misdrijven";"2023 juli";"Nederland";"   68724"
"Totaal misdrijven";"2023 augustus";"Nederland";"   65182"
"Totaal misdrijven";"2022 september";"Aa en Hunze";"      54"
"Totaal misdrijven";"2022 oktober";"Aa en Hunze";"      58"
"Totaal misdrijven";"2022 november";"Aa en Hunze";"      60"
"Totaal misdrijven";"2022 december";"Aa en Hunze";"      60"
"Totaal misdrijven";"2023 januari";"Aa en Hunze";"      69"
"Totaal misdrijven";"2023 februari";"Aa en Hunze";"      70"
"Totaal misdrijven";"2023 maart";"Aa en Hunze";"      58"
"Totaal misdrijven";"2023 april";"Aa en Hunze";"      44"
"Totaal misdrijven";"2023 mei";"Aa en Hunze";"      60"
"Totaal misdrijven";"2023 juni";"Aa en Hunze";"      48"
"Totaal misdrijven";"2023 juli";"Aa en Hunze";"      47"
"Totaal misdrijven";"2023 augustus";"Aa en Hunze";"      78"
"Totaal misdrijven";"2022 september";"Aalsmeer";"     107"
"Totaal misdrijven";"2022 oktober";"Aalsmeer";"     103"
"Totaal misdrijven";"2022 november";"Aalsmeer";"      81"
"Totaal misdrijven";"2022 december";"Aalsmeer";"      72"
"Totaal misdrijven";"2023 januari";"Aalsmeer";"      94"
"Totaal misdrijven";"2023 februari";"Aalsmeer";"      81"
"Totaal misdrijven";"2023 maart";"Aalsmeer";"      86"
"Totaal misdrijven";"2023 april";"Aalsmeer";"      88"
"Totaal misdrijven";"2023 mei";"Aalsmeer";"      66"
"Totaal misdrijven";"2023 juni";"Aalsmeer";"      97"
"Totaal misdrijven";"2023 juli";"Aalsmeer";"      98"
"Totaal misdrijven";"2023 augustus";"Aalsmeer";"      86"
"Totaal misdrijven";"2022 september";"Aalten";"      37"
"Totaal misdrijven";"2022 oktober";"Aalten";"      46"
"Totaal misdrijven";"2022 november";"Aalten";"      50"
"Totaal misdrijven";"2022 december";"Aalten";"      50"
"Totaal misdrijven";"2023 januari";"Aalten";"      34"
"Totaal misdrijven";"2023 februari";"Aalten";"      42"
"Totaal misdrijven";"2023 maart";"Aalten";"      46"
"Totaal misdrijven";"2023 april";"Aalten";"      45"
"Totaal misdrijven";"2023 mei";"Aalten";"      36"
"Totaal misdrijven";"2023 juni";"Aalten";"      37"
"Totaal misdrijven";"2023 juli";"Aalten";"      50"
"Totaal misdrijven";"2023 augustus";"Aalten";"      47"
"Totaal misdrijven";"2022 september";"Achtkarspelen";"      30"
"Totaal misdrijven";"2022 oktober";"Achtkarspelen";"      77"
"Totaal misdrijven";"2022 november";"Achtkarspelen";"      67"
"Totaal misdrijven";"2022 december";"Achtkarspelen";"      56"
"Totaal misdrijven";"2023 januari";"Achtkarspelen";"      83"
"Totaal misdrijven";"2023 februari";"Achtkarspelen";"      49"
"Totaal misdrijven";"2023 maart";"Achtkarspelen";"      46"
"Totaal misdrijven";"2023 april";"Achtkarspelen";"      53"
"Totaal misdrijven";"2023 mei";"Achtkarspelen";"      45"
"Totaal misdrijven";"2023 juni";"Achtkarspelen";"      40"
"Totaal misdrijven";"2023 juli";"Achtkarspelen";"      50"
"Totaal misdrijven";"2023 augustus";"Achtkarspelen";"      42"
"Totaal misdrijven";"2022 september";"Alblasserdam";"      45"
"Totaal misdrijven";"2022 oktober";"Alblasserdam";"      41"
"Totaal misdrijven";"2022 november";"Alblasserdam";"      39"
"Totaal misdrijven";"2022 december";"Alblasserdam";"      60"
"Totaal misdrijven";"2023 januari";"Alblasserdam";"      56"
"Totaal misdrijven";"2023 februari";"Alblasserdam";"      55"
"Totaal misdrijven";"2023 maart";"Alblasserdam";"      37"
"Totaal misdrijven";"2023 april";"Alblasserdam";"      42"
"Totaal misdrijven";"2023 mei";"Alblasserdam";"      31"
"Totaal misdrijven";"2023 juni";"Alblasserdam";"      48"
"Totaal misdrijven";"2023 juli";"Alblasserdam";"      41"
"Totaal misdrijven";"2023 augustus";"Alblasserdam";"      36"
"Totaal misdrijven";"2022 september";"Albrandswaard";"     101"
"Totaal misdrijven";"2022 oktober";"Albrandswaard";"      93"
"Totaal misdrijven";"2022 november";"Albrandswaard";"      90"
"Totaal misdrijven";"2022 december";"Albrandswaard";"     100"
"Totaal misdrijven";"2023 januari";"Albrandswaard";"     100"
"Totaal misdrijven";"2023 februari";"Albrandswaard";"     100"
