"Soort misdrijf";"Perioden";"Wijken en buurten";"Geregistreerde misdrijven (aantal)"
"Totaal misdrijven";"2022 september";"Burgwallen-Nieuwe Zijde";"     530"
"Totaal misdrijven";"2022 oktober";"Burgwallen-Nieuwe Zijde";"     500"
"Totaal misdrijven";"2022 november";"Burgwallen-Nieuwe Zijde";"     529"
"Totaal misdrijven";"2022 december";"Burgwallen-Nieuwe Zijde";"     529"
"Totaal misdrijven";"2023 januari";"Burgwallen-Nieuwe Zijde";"     549"
"Totaal misdrijven";"2023 februari";"Burgwallen-Nieuwe Zijde";"     464"
"Totaal misdrijven";"2023 maart";"Burgwallen-Nieuwe Zijde";"     425"
"Totaal misdrijven";"2023 april";"Burgwallen-Nieuwe Zijde";"     375"
"Totaal misdrijven";"2023 mei";"Burgwallen-Nieuwe Zijde";"     470"
"Totaal misdrijven";"2023 juni";"Burgwallen-Nieuwe Zijde";"     451"
"Totaal misdrijven";"2023 juli";"Burgwallen-Nieuwe Zijde";"     483"
"Totaal misdrijven";"2023 augustus";"Burgwallen-Nieuwe Zijde";"     405"
"Totaal misdrijven";"2022 september";"Burgwallen-Oude Zijde";"     268"
"Totaal misdrijven";"2022 oktober";"Burgwallen-Oude Zijde";"     286"
"Totaal misdrijven";"2022 november";"Burgwallen-Oude Zijde";"     249"
"Totaal misdrijven";"2022 december";"Burgwallen-Oude Zijde";"     296"
"Totaal misdrijven";"2023 januari";"Burgwallen-Oude Zijde";"     408"
"Totaal misdrijven";"2023 februari";"Burgwallen-Oude Zijde";"     274"
"Totaal misdrijven";"2023 maart";"Burgwallen-Oude Zijde";"     281"
"Totaal misdrijven";"2023 april";"Burgwallen-Oude Zijde";"     246"
"Totaal misdrijven";"2023 mei";"Burgwallen-Oude Zijde";"     268"
"Totaal misdrijven";"2023 juni";"Burgwallen-Oude Zijde";"     232"
"Totaal misdrijven";"2023 juli";"Burgwallen-Oude Zijde";"     241"
"Totaal misdrijven";"2023 augustus";"Burgwallen-Oude Zijde";"     258"
"Totaal misdrijven";"2022 september";"Burgwallen-Oost";"      81"
"Totaal misdrijven";"2022 oktober";"Burgwallen-Oost";"      67"
"Totaal misdrijven";"2022 november";"Burgwallen-Oost";"      67"
"Totaal misdrijven";"2022 december";"Burgwallen-Oost";"      91"
"Totaal misdrijven";"2023 januari";"Burgwallen-Oost";"     115"
"Totaal misdrijven";"2023 februari";"Burgwallen-Oost";"      82"
"Totaal misdrijven";"2023 maart";"Burgwallen-Oost";"      76"
"Totaal misdrijven";"2023 april";"Burgwallen-Oost";"      70"
