Perioden,Title,KinderenMetKansOpArmoedeRelatief_3
2011,'s-Gravenhage (gemeente),80.3
2011,'s-Hertogenbosch,45.2
2011,Aa en Hunze,25.6
2011,Aalburg,18.9
2011,Aalsmeer,18.4
2011,Aalten,22.0
2011,Achtkarspelen,34.7
2011,Alblasserdam,26.0
2011,Albrandswaard,23.6
2011,Alkmaar,46.0
2011,Almelo,54.2
2011,Almere,50.4
2011,Alphen aan den Rijn,31.2
2011,Alphen-Chaam,17.2
2011,Altena,0.0
2011,Ameland,17.7
2011,Amersfoort,36.6
2011,Amstelveen,29.2
2011,Amsterdam,98.8
2011,Anna Paulowna,29.7
2011,Apeldoorn,34.6
2011,Appingedam,59.9
2011,Arnhem,70.4
2011,Assen,44.9
2011,Asten,30.0
2011,Baarle-Nassau,20.8
2011,Baarn,31.9
2011,Barendrecht,24.6
2011,Barneveld,22.1
2011,Bedum,27.0
2011,Beek (L.),34.9
2011,Beekdaelen,0.0
2011,Beemster,26.6
2011,Beesel,39.9
2011,Bellingwedde,44.6
2011,Berg en Dal,0.0
2011,Bergambacht,18.5
2011,Bergeijk,20.8
2011,Bergen (L.),26.4
2011,Bergen (NH.),30.2
2011,Bergen op Zoom,50.6
2011,Berkelland,22.4
2011,Bernheze,24.6
2011,Bernisse,19.0
2011,Best,25.3
2011,Beuningen,24.8
2011,Beverwijk,44.3
2011,Binnenmaas,20.1
2011,Bladel,20.1
2011,Blaricum,29.5
2011,Bloemendaal,23.8
2011,Boarnsterhim,27.8
2011,Bodegraven-Reeuwijk,20.7
2011,Boekel,27.4
2011,Borger-Odoorn,34.8
2011,Borne,28.2
2011,Borsele,18.3
2011,Boskoop,29.2
2011,Boxmeer,24.5
2011,Boxtel,35.8
2011,Breda,44.7
2011,Brielle,25.4
2011,Bronckhorst,22.8
2011,Brummen,27.4
2011,Brunssum,65.1
2011,Bunnik,12.0
2011,Bunschoten,13.9
2011,Buren,26.7
2011,Bussum,25.3
2011,Capelle aan den IJssel,62.5
2011,Castricum,18.2
2011,Coevorden,42.8
2011,Cranendonck,27.2
2011,Cromstrijen,15.8
2011,Cuijk,37.6
2011,Culemborg,37.8
2011,Dalfsen,21.4
2011,Dantumadiel,32.4
2011,De Bilt,29.3
2011,De Friese Meren,0.0
2011,De Fryske Marren,0.0
2011,De Marne,48.4
2011,De Ronde Venen,24.5
2011,De Wolden,23.8
2011,Delft,62.1
2011,Delfzijl,50.3
2011,Den Helder,59.3
2011,Deurne,30.6
2011,Deventer,42.7
2011,Diemen,49.1
2011,Dijk en Waard,0.0
2011,Dinkelland,19.9
2011,Dirksland,20.4
2011,Doesburg,58.4
2011,Doetinchem,34.2
2011,Dongen,25.9
2011,Dongeradeel,35.1
2011,Dordrecht,54.6
2011,Drechterland,22.1
2011,Drimmelen,18.9
2011,Dronten,39.2
2011,Druten,29.8
2011,Duiven,24.5
2011,Echt-Susteren,33.0
2011,Edam-Volendam,16.3
2011,Ede,32.4
2011,Eemnes,22.0
2011,Eemsdelta,0.0
2011,Eemsmond,37.7
2011,Eersel,20.5
2011,Eijsden-Margraten,20.8
2011,Eindhoven,58.2
2011,Elburg,20.3
2011,Emmen,49.7
2011,Enkhuizen,37.9
2011,Enschede,69.5
2011,Epe,28.8
2011,Ermelo,23.7
2011,Etten-Leur,33.0
2011,Ferwerderadiel,26.3
2011,Franekeradeel,41.7
2011,Gaasterlân-Sleat,25.0
2011,Geertruidenberg,24.7
2011,Geldermalsen,24.1
2011,Geldrop-Mierlo,36.1
2011,Gemert-Bakel,29.9
2011,Gennep,32.4
2011,Giessenlanden,18.7
2011,Gilze en Rijen,31.3
2011,Goedereede,16.7
2011,Goeree-Overflakkee,0.0
2011,Goes,34.5
2011,Goirle,25.4
2011,Gooise Meren,0.0
2011,Gorinchem,40.8
2011,Gouda,44.3
2011,Graafstroom,10.1
2011,Graft-De Rijp,16.7
2011,Grave,23.4
2011,Groesbeek,30.8
2011,Groningen (gemeente),70.4
2011,Grootegast,27.6
2011,Gulpen-Wittem,26.8
2011,Haaksbergen,24.5
2011,Haaren,17.2
2011,Haarlem,43.8
2011,Haarlemmerliede en Spaarnwoude,26.9
2011,Haarlemmermeer,24.4
2011,Halderberge,33.0
2011,Hardenberg,24.9
2011,Harderwijk,35.6
2011,Hardinxveld-Giessendam,13.4
2011,Haren,19.9
2011,Harenkarspel,22.7
2011,Harlingen,53.8
2011,Hattem,22.7
2011,Heemskerk,41.8
2011,Heemstede,19.9
2011,Heerde,22.8
2011,Heerenveen,37.2
2011,Heerhugowaard,30.3
2011,Heerlen,86.1
2011,Heeze-Leende,21.6
2011,Heiloo,16.4
2011,Hellendoorn,26.8
2011,Hellevoetsluis,35.4
2011,Helmond,49.8
2011,Hendrik-Ido-Ambacht,20.9
2011,Hengelo (O.),45.1
2011,Het Hogeland,0.0
2011,Heumen,17.9
2011,Heusden,29.7
2011,Hillegom,27.9
2011,Hilvarenbeek,21.5
2011,Hilversum,37.7
2011,Hoeksche Waard,0.0
2011,Hof van Twente,22.6
2011,Hollands Kroon,0.0
2011,Hoogeveen,41.1
2011,Hoogezand-Sappemeer,64.7
2011,Hoorn,44.5
2011,Horst aan de Maas,24.9
2011,Houten,19.7
2011,Huizen,32.0
2011,Hulst,29.4
2011,IJsselstein,28.6
2011,Kaag en Braassem,19.9
2011,Kampen,28.3
2011,Kapelle,17.3
2011,Katwijk,22.3
2011,Kerkrade,73.5
2011,Koggenland,22.0
2011,Kollumerland en Nieuwkruisland,27.9
2011,Korendijk,11.5
2011,Krimpen aan den IJssel,28.0
2011,Krimpenerwaard,0.0
2011,Laarbeek,25.9
2011,Land van Cuijk,0.0
2011,Landerd,20.3
2011,Landgraaf,52.3
2011,Landsmeer,20.0
2011,Langedijk,27.6
2011,Lansingerland,21.9
2011,Laren (NH.),33.5
2011,Leek,35.5
2011,Leerdam,37.9
2011,Leeuwarden,58.7
2011,Leeuwarderadeel,31.0
2011,Leiden,50.7
2011,Leiderdorp,26.3
2011,Leidschendam-Voorburg,43.3
2011,Lelystad,56.9
2011,Lemsterland,38.9
2011,Leudal,25.5
2011,Leusden,17.5
2011,Liesveld,14.0
2011,Lingewaal,22.1
2011,Lingewaard,24.1
2011,Lisse,23.4
2011,Littenseradiel,19.8
2011,Lochem,23.1
2011,Loon op Zand,25.5
2011,Lopik,18.9
2011,Loppersum,33.1
2011,Losser,31.9
2011,Maasdonk,18.8
