Key;Title;Description
NL01;Nederland;
LD01;Noord-Nederland (LD); 
LD02;Oost-Nederland (LD); 
LD03;West-Nederland (LD); 
LDG4;West-Nederland, exclusief G4 (LD); 
LD04;Zuid-Nederland (LD); 
LDZZ  ;Extra-Regio (LD); 
LD98;Buitenland (LD); 
LD99;Niet in te delen (LD); 
PV20;Groningen (PV); 
PV21;Fryslân (PV); 
PV22;Drenthe (PV); 
PV23;Overijssel (PV); 
PV24;Flevoland (PV); 
PV25;Gelderland (PV); 
PV26;Utrecht (PV); 
PV27;Noord-Holland (PV); 
PV28;Zuid-Holland (PV); 
PV29;Zeeland (PV); 
PV30;Noord-Brabant (PV); 
PV31;Limburg (PV); 
GM1680;Aa en Hunze;Ontstaan per 01-01-1998
GM0738;Aalburg; 
GM0358;Aalsmeer;Begindatum voor 1830
GM0197;Aalten; 
GM0059;Achtkarspelen;Begindatum voor 1830
GM0482;Alblasserdam;Begindatum voor 1830
GM0613;Albrandswaard;Ontstaan per 01-01-1985
GM0361;Alkmaar; 
GM0141;Almelo;Begindatum 01-12-1913
GM0034;Almere;Ontstaan per 01-01-1984
GM0484;Alphen aan den Rijn; 
GM1723;Alphen-Chaam;Ontstaan per 01-01-1997
GM1959;Altena;Ontstaan per 01-01-2019
GM0060;Ameland;Begindatum voor 1830
GM0307;Amersfoort;Begindatum voor 1830
GM0362;Amstelveen;Naamswijziging per 01-01-1964
GM0363;Amsterdam; 
GM0366;Anna Paulowna; 
GM0200;Apeldoorn;Begindatum voor 1830
GM0003;Appingedam; 
GM0202;Arnhem;Begindatum voor 1830
GM0106;Assen;Begindatum voor 1830
GM0743;Asten;Begindatum voor 1830
GM0744;Baarle-Nassau;Begindatum voor 1830
GM0308;Baarn;Begindatum voor 1830
GM0489;Barendrecht;Naamswijziging per 10-12-1886
GM0203;Barneveld;Begindatum voor 1830
GM0005;Bedum; 
GM0888;Beek (L.);Begindatum 02-01-1839
GM1954;Beekdaelen;Ontstaan per 01-01-2019
GM0370;Beemster; 
GM0889;Beesel;Begindatum 02-01-1839
GM0007;Bellingwedde; 
GM1945;Berg en Dal;Naamswijziging per 01-01-2016
GM0491;Bergambacht; 
GM1724;Bergeijk;Naamswijziging per 25-09-1998
GM0893;Bergen (L.);Begindatum 02-01-1839
GM0373;Bergen (NH.); 
GM0748;Bergen op Zoom; 
GM1859;Berkelland;Ontstaan per 01-01-2005
GM1721;Bernheze;Naamswijziging per 28-01-1995
GM0568;Bernisse; 
GM0753;Best;Begindatum voor 1830
GM0209;Beuningen;Begindatum voor 1830
GM0375;Beverwijk;Begindatum voor 1830
GM0063;het Bildt; 
GM0310;De Bilt; 
GM0585;Binnenmaas; 
GM1728;Bladel;Ontstaan per 01-01-1997
GM0376;Blaricum;Begindatum voor 1830
GM0377;Bloemendaal; 
GM0055;Boarnsterhim; 
GM1901;Bodegraven-Reeuwijk;Ontstaan per 01-01-2011
GM0755;Boekel;Begindatum voor 1830
GM0009;Ten Boer; 
GM1681;Borger-Odoorn;Ontstaan per 01-01-1998
GM0147;Borne;Begindatum voor 1830
GM0654;Borsele;Naamswijziging per 01-01-1970
GM0499;Boskoop; 
GM0756;Boxmeer; 
GM0757;Boxtel; 
GM0758;Breda; 
GM0501;Brielle; 
GM1876;Bronckhorst;Ontstaan per 01-01-2005
GM0213;Brummen;Begindatum voor 1830
GM0899;Brunssum;Begindatum 02-01-1839
GM0312;Bunnik;Begindatum voor 1830
GM0313;Bunschoten;Begindatum voor 1830
GM0214;Buren; 
GM0381;Bussum; 
GM0502;Capelle aan den IJssel;Begindatum voor 1830
GM0383;Castricum; 
GM0109;Coevorden; 
GM1706;Cranendonck;Naamswijziging per 28-01-1998
GM0611;Cromstrijen; 
GM1684;Cuijk; 
GM0216;Culemborg;Begindatum voor 1830
GM0148;Dalfsen; 
GM1891;Dantumadiel;Naamswijziging per 01-01-2009
GM0503;Delft;Begindatum voor 1830
GM0010;Delfzijl; 
GM0762;Deurne;Naamswijziging per 01-01-1926
GM0150;Deventer; 
GM0384;Diemen;Begindatum voor 1830
GM1980;Dijk en Waard;Ontstaan per 01-01-2022
GM1774;Dinkelland;Naamswijziging per 01-06-2002
GM0504;Dirksland; 
GM0221;Doesburg;Begindatum voor 1830
GM0222;Doetinchem; 
GM0766;Dongen; 
GM0058;Dongeradeel; 
GM0505;Dordrecht;Begindatum voor 1830
GM0498;Drechterland; 
GM1719;Drimmelen;Naamswijziging per 25-04-1998
GM0303;Dronten;Ontstaan per 01-01-1972
GM0225;Druten;Begindatum voor 1830
GM0226;Duiven;Begindatum voor 1830
GM1711;Echt-Susteren;Ontstaan per 01-01-2003
GM0385;Edam-Volendam; 
GM0228;Ede;Begindatum voor 1830
GM0317;Eemnes;Begindatum voor 1830
GM1979;Eemsdelta;Ontstaan per 01-01-2021
GM1651;Eemsmond; 
GM0770;Eersel; 
GM1903;Eijsden-Margraten;Ontstaan per 01-01-2011
GM0772;Eindhoven;Begindatum voor 1830
GM0230;Elburg;Begindatum voor 1830
GM0114;Emmen; 
GM0388;Enkhuizen;Begindatum voor 1830
GM0153;Enschede;Begindatum voor 1830
GM0232;Epe;Begindatum voor 1830
GM0233;Ermelo;Begindatum voor 1830
GM0777;Etten-Leur;Naamswijziging per 01-01-1968
GM1722;Ferwerderadiel; 
GM0070;Franekeradeel; 
GM1921;De Friese Meren; 
GM1940;De Fryske Marren;Naamswijziging per 01-07-2015
GM0653;Gaasterlân-Sleat; 
GM0779;Geertruidenberg; 
GM0236;Geldermalsen; 
GM1771;Geldrop-Mierlo;Ontstaan per 01-01-2004
GM1652;Gemert-Bakel;Ontstaan per 01-01-1997
GM0907;Gennep;Begindatum 02-01-1839
GM0689;Giessenlanden; 
GM0784;Gilze en Rijen;Begindatum voor 1830
GM0511;Goedereede; 
GM1924;Goeree-Overflakkee;Ontstaan per 01-01-2013
GM0664;Goes;Begindatum voor 1830
GM0785;Goirle;Begindatum voor 1830
GM1942;Gooise Meren;Ontstaan per 01-01-2016
GM0512;Gorinchem;Begindatum voor 1830
GM0513;Gouda;Begindatum voor 1830
GM0693;Graafstroom; 
GM0365;Graft-De Rijp; 
GM0786;Grave; 
GM0518;'s-Gravenhage (gemeente);Begindatum voor 1830
GM0241;Groesbeek; 
GM0014;Groningen (gemeente); 
GM0015;Grootegast; 
GM1729;Gulpen-Wittem;Ontstaan per 01-01-1999
GM0158;Haaksbergen;Begindatum voor 1830
GM0788;Haaren; 
GM0392;Haarlem;Begindatum voor 1830
GM0393;Haarlemmerliede en Spaarnwoude; 
GM0394;Haarlemmermeer; 
GM1655;Halderberge;Ontstaan per 01-01-1997
GM0160;Hardenberg; 
GM0243;Harderwijk;Begindatum voor 1830
GM0523;Hardinxveld-Giessendam;Ontstaan per 01-01-1957
GM0017;Haren; 
GM0395;Harenkarspel; 
GM0072;Harlingen;Begindatum voor 1830
GM0244;Hattem;Begindatum voor 1830
GM0396;Heemskerk;Begindatum voor 1830
GM0397;Heemstede;Begindatum voor 1830
GM0246;Heerde;Begindatum voor 1830
GM0074;Heerenveen; 
GM0398;Heerhugowaard; 
GM0917;Heerlen;Begindatum 02-01-1839
GM1658;Heeze-Leende;Ontstaan per 01-01-1997
GM0399;Heiloo;Begindatum voor 1830
GM0400;Den Helder;Begindatum voor 1830
GM0163;Hellendoorn;Begindatum voor 1830
GM0530;Hellevoetsluis; 
GM0794;Helmond;Begindatum voor 1830
GM0531;Hendrik-Ido-Ambacht;Begindatum voor 1830
GM0164;Hengelo (O.);Begindatum voor 1830
GM0796;'s-Hertogenbosch; 
GM0252;Heumen;Begindatum voor 1830
GM0797;Heusden; 
GM0534;Hillegom;Begindatum voor 1830
GM0798;Hilvarenbeek; 
GM0402;Hilversum;Begindatum voor 1830
GM1963;Hoeksche Waard;Ontstaan per 01-01-2019
GM1735;Hof van Twente;Ontstaan per 01-01-2001
GM1966;Het Hogeland;Ontstaan per 01-01-2019
GM1911;Hollands Kroon;Ontstaan per 01-01-2012
GM0118;Hoogeveen;Begindatum voor 1830
GM0018;Hoogezand-Sappemeer; 
GM0405;Hoorn;Begindatum voor 1830
GM1507;Horst aan de Maas; 
