dataset,time_period,region_name,region_type,region_code,population,private_houshold_amount,average_standardized_income,median_standardized_income,inequality_income
income_inequality,2011,Nederland,Country,NL01,Private housholds,7347500.0,25600.0,22800.0,2800.0
income_inequality,2012,Nederland,Country,NL01,Private housholds,7412100.0,25800.0,23000.0,2800.0
income_inequality,2013,Nederland,Country,NL01,Private housholds,7467800.0,25900.0,23200.0,2700.0
income_inequality,2014,Nederland,Country,NL01,Private housholds,7496400.0,27300.0,23900.0,3400.0
income_inequality,2015,Nederland,Country,NL01,Private housholds,7568500.0,27100.0,24300.0,2800.0
income_inequality,2016,Nederland,Country,NL01,Private housholds,7623200.0,28200.0,25200.0,3000.0
income_inequality,2017,Nederland,Country,NL01,Private housholds,7694900.0,29200.0,25800.0,3400.0
income_inequality,2018,Nederland,Country,NL01,Private housholds,7760600.0,29500.0,26300.0,3200.0
income_inequality,2019,Nederland,Country,NL01,Private housholds,7827400.0,31600.0,27600.0,4000.0
income_inequality,2020,Nederland,Country,NL01,Private housholds,7894500.0,32100.0,28700.0,3400.0
income_inequality,2021,Nederland,Country,NL01,Private housholds,7948700.0,33500.0,29800.0,3700.0
income_inequality,2011,Groningen,Province,PV20,Private housholds,274600.0,22100.0,20200.0,1900.0
income_inequality,2012,Groningen,Province,PV20,Private housholds,277300.0,22200.0,20400.0,1800.0
income_inequality,2013,Groningen,Province,PV20,Private housholds,279600.0,22300.0,20500.0,1800.0
income_inequality,2014,Groningen,Province,PV20,Private housholds,280100.0,23300.0,21100.0,2200.0
income_inequality,2015,Groningen,Province,PV20,Private housholds,282900.0,23300.0,21300.0,2000.0
income_inequality,2016,Groningen,Province,PV20,Private housholds,283700.0,24200.0,22000.0,2200.0
income_inequality,2017,Groningen,Province,PV20,Private housholds,284500.0,24900.0,22600.0,2300.0
income_inequality,2018,Groningen,Province,PV20,Private housholds,285500.0,25100.0,23000.0,2100.0
income_inequality,2019,Groningen,Province,PV20,Private housholds,286700.0,26500.0,24100.0,2400.0
income_inequality,2020,Groningen,Province,PV20,Private housholds,287900.0,27400.0,25200.0,2200.0
income_inequality,2021,Groningen,Province,PV20,Private housholds,289900.0,28700.0,26200.0,2500.0
income_inequality,2011,Fryslân,Province,PV21,Private housholds,279800.0,23700.0,21500.0,2200.0
income_inequality,2012,Fryslân,Province,PV21,Private housholds,281100.0,23800.0,21800.0,2000.0
income_inequality,2013,Fryslân,Province,PV21,Private housholds,282500.0,24100.0,22000.0,2100.0
income_inequality,2014,Fryslân,Province,PV21,Private housholds,283300.0,25200.0,22600.0,2600.0
income_inequality,2015,Fryslân,Province,PV21,Private housholds,284600.0,25100.0,23000.0,2100.0
income_inequality,2016,Fryslân,Province,PV21,Private housholds,285400.0,26100.0,23900.0,2200.0
