dataset,time_period,region_name,region_type,region_code,people_in_debt
people_in_debt,1999,Nederland,Country,NL01,6220.0
people_in_debt,2000,Nederland,Country,NL01,13930.0
people_in_debt,2001,Nederland,Country,NL01,20465.0
people_in_debt,2002,Nederland,Country,NL01,25560.0
people_in_debt,2003,Nederland,Country,NL01,28150.0
people_in_debt,2004,Nederland,Country,NL01,33135.0
people_in_debt,2005,Nederland,Country,NL01,37150.0
people_in_debt,2006,Nederland,Country,NL01,40880.0
people_in_debt,2007,Nederland,Country,NL01,43180.0
people_in_debt,2008,Nederland,Country,NL01,38260.0
people_in_debt,2009,Nederland,Country,NL01,33315.0
people_in_debt,2010,Nederland,Country,NL01,31155.0
people_in_debt,2011,Nederland,Country,NL01,34890.0
people_in_debt,2012,Nederland,Country,NL01,38695.0
people_in_debt,2013,Nederland,Country,NL01,39760.0
people_in_debt,2014,Nederland,Country,NL01,38560.0
people_in_debt,2015,Nederland,Country,NL01,36250.0
people_in_debt,2016,Nederland,Country,NL01,33350.0
people_in_debt,2017,Nederland,Country,NL01,29450.0
people_in_debt,2018,Nederland,Country,NL01,24120.0
people_in_debt,2019,Nederland,Country,NL01,18850.0
people_in_debt,2020,Nederland,Country,NL01,13805.0
people_in_debt,2021,Nederland,Country,NL01,10310.0
people_in_debt,2022,Nederland,Country,NL01,7345.0
people_in_debt,1999,Groningen,Province,PV20,210.0
people_in_debt,2000,Groningen,Province,PV20,550.0
people_in_debt,2001,Groningen,Province,PV20,775.0
people_in_debt,2002,Groningen,Province,PV20,945.0
people_in_debt,2003,Groningen,Province,PV20,1005.0
people_in_debt,2004,Groningen,Province,PV20,1330.0
people_in_debt,2005,Groningen,Province,PV20,1680.0
people_in_debt,2006,Groningen,Province,PV20,1835.0
people_in_debt,2007,Groningen,Province,PV20,1840.0
people_in_debt,2008,Groningen,Province,PV20,1500.0
people_in_debt,2009,Groningen,Province,PV20,1405.0
people_in_debt,2010,Groningen,Province,PV20,1440.0
people_in_debt,2011,Groningen,Province,PV20,1735.0
people_in_debt,2012,Groningen,Province,PV20,2030.0
people_in_debt,2013,Groningen,Province,PV20,2080.0
people_in_debt,2014,Groningen,Province,PV20,2255.0
people_in_debt,2015,Groningen,Province,PV20,2375.0
people_in_debt,2016,Groningen,Province,PV20,2295.0
people_in_debt,2017,Groningen,Province,PV20,2030.0
people_in_debt,2018,Groningen,Province,PV20,1635.0
people_in_debt,2019,Groningen,Province,PV20,1315.0
people_in_debt,2020,Groningen,Province,PV20,970.0
people_in_debt,2021,Groningen,Province,PV20,710.0
people_in_debt,2022,Groningen,Province,PV20,480.0
people_in_debt,1999,Fryslân,Province,PV21,150.0
people_in_debt,2000,Fryslân,Province,PV21,310.0
people_in_debt,2001,Fryslân,Province,PV21,480.0
people_in_debt,2002,Fryslân,Province,PV21,595.0
people_in_debt,2003,Fryslân,Province,PV21,635.0
people_in_debt,2004,Fryslân,Province,PV21,665.0
people_in_debt,2005,Fryslân,Province,PV21,730.0
people_in_debt,2006,Fryslân,Province,PV21,770.0
people_in_debt,2007,Fryslân,Province,PV21,750.0
people_in_debt,2008,Fryslân,Province,PV21,710.0
people_in_debt,2009,Fryslân,Province,PV21,790.0
people_in_debt,2010,Fryslân,Province,PV21,935.0
people_in_debt,2011,Fryslân,Province,PV21,1325.0
people_in_debt,2012,Fryslân,Province,PV21,1690.0
people_in_debt,2013,Fryslân,Province,PV21,2020.0
people_in_debt,2014,Fryslân,Province,PV21,2285.0
people_in_debt,2015,Fryslân,Province,PV21,2215.0
people_in_debt,2016,Fryslân,Province,PV21,1930.0
people_in_debt,2017,Fryslân,Province,PV21,1495.0
people_in_debt,2018,Fryslân,Province,PV21,1055.0
people_in_debt,2019,Fryslân,Province,PV21,820.0
people_in_debt,2020,Fryslân,Province,PV21,660.0
people_in_debt,2021,Fryslân,Province,PV21,550.0
people_in_debt,2022,Fryslân,Province,PV21,460.0
people_in_debt,1999,Drenthe,Province,PV22,140.0
people_in_debt,2000,Drenthe,Province,PV22,360.0
people_in_debt,2001,Drenthe,Province,PV22,610.0
people_in_debt,2002,Drenthe,Province,PV22,795.0
people_in_debt,2003,Drenthe,Province,PV22,915.0
people_in_debt,2004,Drenthe,Province,PV22,1115.0
people_in_debt,2005,Drenthe,Province,PV22,1240.0
people_in_debt,2006,Drenthe,Province,PV22,1355.0
people_in_debt,2007,Drenthe,Province,PV22,1385.0
people_in_debt,2008,Drenthe,Province,PV22,1165.0
people_in_debt,2009,Drenthe,Province,PV22,990.0
people_in_debt,2010,Drenthe,Province,PV22,915.0
people_in_debt,2011,Drenthe,Province,PV22,1065.0
people_in_debt,2012,Drenthe,Province,PV22,1340.0
people_in_debt,2013,Drenthe,Province,PV22,1525.0
people_in_debt,2014,Drenthe,Province,PV22,1550.0
people_in_debt,2015,Drenthe,Province,PV22,1465.0
people_in_debt,2016,Drenthe,Province,PV22,1400.0
people_in_debt,2017,Drenthe,Province,PV22,1225.0
people_in_debt,2018,Drenthe,Province,PV22,975.0
people_in_debt,2019,Drenthe,Province,PV22,715.0
people_in_debt,2020,Drenthe,Province,PV22,495.0
people_in_debt,2021,Drenthe,Province,PV22,360.0
people_in_debt,2022,Drenthe,Province,PV22,270.0
people_in_debt,1999,Overijssel,Province,PV23,580.0
people_in_debt,2000,Overijssel,Province,PV23,1205.0
people_in_debt,2001,Overijssel,Province,PV23,1545.0
people_in_debt,2002,Overijssel,Province,PV23,1800.0
people_in_debt,2003,Overijssel,Province,PV23,1770.0
people_in_debt,2004,Overijssel,Province,PV23,1885.0
people_in_debt,2005,Overijssel,Province,PV23,2260.0
people_in_debt,2006,Overijssel,Province,PV23,2690.0
people_in_debt,2007,Overijssel,Province,PV23,3070.0
people_in_debt,2008,Overijssel,Province,PV23,2715.0
people_in_debt,2009,Overijssel,Province,PV23,2425.0
people_in_debt,2010,Overijssel,Province,PV23,2370.0
people_in_debt,2011,Overijssel,Province,PV23,2875.0
people_in_debt,2012,Overijssel,Province,PV23,3120.0
people_in_debt,2013,Overijssel,Province,PV23,2900.0
people_in_debt,2014,Overijssel,Province,PV23,2565.0
people_in_debt,2015,Overijssel,Province,PV23,2420.0
people_in_debt,2016,Overijssel,Province,PV23,2410.0
people_in_debt,2017,Overijssel,Province,PV23,2330.0
people_in_debt,2018,Overijssel,Province,PV23,1950.0
people_in_debt,2019,Overijssel,Province,PV23,1530.0
people_in_debt,2020,Overijssel,Province,PV23,1025.0
people_in_debt,2021,Overijssel,Province,PV23,815.0
people_in_debt,2022,Overijssel,Province,PV23,620.0
people_in_debt,1999,Flevoland,Province,PV24,255.0
people_in_debt,2000,Flevoland,Province,PV24,565.0
people_in_debt,2001,Flevoland,Province,PV24,835.0
people_in_debt,2002,Flevoland,Province,PV24,1055.0
people_in_debt,2003,Flevoland,Province,PV24,1095.0
people_in_debt,2004,Flevoland,Province,PV24,1150.0
people_in_debt,2005,Flevoland,Province,PV24,1160.0
people_in_debt,2006,Flevoland,Province,PV24,1345.0
people_in_debt,2007,Flevoland,Province,PV24,1665.0
people_in_debt,2008,Flevoland,Province,PV24,1760.0
people_in_debt,2009,Flevoland,Province,PV24,1665.0
people_in_debt,2010,Flevoland,Province,PV24,1695.0
people_in_debt,2011,Flevoland,Province,PV24,1870.0
people_in_debt,2012,Flevoland,Province,PV24,2030.0
people_in_debt,2013,Flevoland,Province,PV24,1775.0
people_in_debt,2014,Flevoland,Province,PV24,1305.0
people_in_debt,2015,Flevoland,Province,PV24,1075.0
people_in_debt,2016,Flevoland,Province,PV24,1040.0
people_in_debt,2017,Flevoland,Province,PV24,1025.0
people_in_debt,2018,Flevoland,Province,PV24,905.0
people_in_debt,2019,Flevoland,Province,PV24,660.0
people_in_debt,2020,Flevoland,Province,PV24,515.0
people_in_debt,2021,Flevoland,Province,PV24,365.0
people_in_debt,2022,Flevoland,Province,PV24,280.0
people_in_debt,1999,Gelderland,Province,PV25,890.0
people_in_debt,2000,Gelderland,Province,PV25,1900.0
people_in_debt,2001,Gelderland,Province,PV25,2770.0
people_in_debt,2002,Gelderland,Province,PV25,3155.0
people_in_debt,2003,Gelderland,Province,PV25,3470.0
people_in_debt,2004,Gelderland,Province,PV25,3960.0
people_in_debt,2005,Gelderland,Province,PV25,4220.0
people_in_debt,2006,Gelderland,Province,PV25,4120.0
people_in_debt,2007,Gelderland,Province,PV25,3895.0
people_in_debt,2008,Gelderland,Province,PV25,3170.0
people_in_debt,2009,Gelderland,Province,PV25,2560.0
people_in_debt,2010,Gelderland,Province,PV25,2300.0
people_in_debt,2011,Gelderland,Province,PV25,2710.0
people_in_debt,2012,Gelderland,Province,PV25,3270.0
people_in_debt,2013,Gelderland,Province,PV25,3445.0
people_in_debt,2014,Gelderland,Province,PV25,3480.0
people_in_debt,2015,Gelderland,Province,PV25,3605.0
people_in_debt,2016,Gelderland,Province,PV25,3500.0
people_in_debt,2017,Gelderland,Province,PV25,3335.0
people_in_debt,2018,Gelderland,Province,PV25,2750.0
people_in_debt,2019,Gelderland,Province,PV25,2240.0
people_in_debt,2020,Gelderland,Province,PV25,1650.0
people_in_debt,2021,Gelderland,Province,PV25,1180.0
people_in_debt,2022,Gelderland,Province,PV25,850.0
people_in_debt,1999,Utrecht,Province,PV26,325.0
people_in_debt,2000,Utrecht,Province,PV26,890.0
people_in_debt,2001,Utrecht,Province,PV26,1350.0
people_in_debt,2002,Utrecht,Province,PV26,1685.0
people_in_debt,2003,Utrecht,Province,PV26,2025.0
people_in_debt,2004,Utrecht,Province,PV26,2405.0
people_in_debt,2005,Utrecht,Province,PV26,2680.0
people_in_debt,2006,Utrecht,Province,PV26,2645.0
people_in_debt,2007,Utrecht,Province,PV26,2590.0
people_in_debt,2008,Utrecht,Province,PV26,1915.0
people_in_debt,2009,Utrecht,Province,PV26,1445.0
people_in_debt,2010,Utrecht,Province,PV26,1145.0
people_in_debt,2011,Utrecht,Province,PV26,1300.0
people_in_debt,2012,Utrecht,Province,PV26,1410.0
people_in_debt,2013,Utrecht,Province,PV26,1530.0
people_in_debt,2014,Utrecht,Province,PV26,1415.0
people_in_debt,2015,Utrecht,Province,PV26,1390.0
people_in_debt,2016,Utrecht,Province,PV26,1325.0
people_in_debt,2017,Utrecht,Province,PV26,1240.0
people_in_debt,2018,Utrecht,Province,PV26,1035.0
people_in_debt,2019,Utrecht,Province,PV26,830.0
people_in_debt,2020,Utrecht,Province,PV26,560.0
people_in_debt,2021,Utrecht,Province,PV26,390.0
people_in_debt,2022,Utrecht,Province,PV26,285.0
people_in_debt,1999,Noord-Holland,Province,PV27,565.0
people_in_debt,2000,Noord-Holland,Province,PV27,1575.0
people_in_debt,2001,Noord-Holland,Province,PV27,2375.0
people_in_debt,2002,Noord-Holland,Province,PV27,3125.0
people_in_debt,2003,Noord-Holland,Province,PV27,3370.0
people_in_debt,2004,Noord-Holland,Province,PV27,4420.0
people_in_debt,2005,Noord-Holland,Province,PV27,5575.0
people_in_debt,2006,Noord-Holland,Province,PV27,6535.0
people_in_debt,2007,Noord-Holland,Province,PV27,7360.0
people_in_debt,2008,Noord-Holland,Province,PV27,6410.0
people_in_debt,2009,Noord-Holland,Province,PV27,5835.0
people_in_debt,2010,Noord-Holland,Province,PV27,5580.0
people_in_debt,2011,Noord-Holland,Province,PV27,6160.0
people_in_debt,2012,Noord-Holland,Province,PV27,6620.0
people_in_debt,2013,Noord-Holland,Province,PV27,6640.0
people_in_debt,2014,Noord-Holland,Province,PV27,6690.0
people_in_debt,2015,Noord-Holland,Province,PV27,6505.0
people_in_debt,2016,Noord-Holland,Province,PV27,5905.0
people_in_debt,2017,Noord-Holland,Province,PV27,5010.0
people_in_debt,2018,Noord-Holland,Province,PV27,3845.0
people_in_debt,2019,Noord-Holland,Province,PV27,2965.0
people_in_debt,2020,Noord-Holland,Province,PV27,2110.0
people_in_debt,2021,Noord-Holland,Province,PV27,1600.0
people_in_debt,2022,Noord-Holland,Province,PV27,1060.0
people_in_debt,1999,Zuid-Holland,Province,PV28,925.0
people_in_debt,2000,Zuid-Holland,Province,PV28,1835.0
people_in_debt,2001,Zuid-Holland,Province,PV28,2725.0
people_in_debt,2002,Zuid-Holland,Province,PV28,3720.0
people_in_debt,2003,Zuid-Holland,Province,PV28,4415.0
people_in_debt,2004,Zuid-Holland,Province,PV28,5325.0
people_in_debt,2005,Zuid-Holland,Province,PV28,5820.0
people_in_debt,2006,Zuid-Holland,Province,PV28,6700.0
people_in_debt,2007,Zuid-Holland,Province,PV28,6995.0
people_in_debt,2008,Zuid-Holland,Province,PV28,6555.0
people_in_debt,2009,Zuid-Holland,Province,PV28,5800.0
people_in_debt,2010,Zuid-Holland,Province,PV28,5270.0
people_in_debt,2011,Zuid-Holland,Province,PV28,6315.0
people_in_debt,2012,Zuid-Holland,Province,PV28,6930.0
people_in_debt,2013,Zuid-Holland,Province,PV28,7145.0
people_in_debt,2014,Zuid-Holland,Province,PV28,6920.0
people_in_debt,2015,Zuid-Holland,Province,PV28,6235.0
people_in_debt,2016,Zuid-Holland,Province,PV28,5810.0
people_in_debt,2017,Zuid-Holland,Province,PV28,5485.0
people_in_debt,2018,Zuid-Holland,Province,PV28,4765.0
people_in_debt,2019,Zuid-Holland,Province,PV28,3650.0
people_in_debt,2020,Zuid-Holland,Province,PV28,2795.0
people_in_debt,2021,Zuid-Holland,Province,PV28,2100.0
people_in_debt,2022,Zuid-Holland,Province,PV28,1435.0
people_in_debt,1999,Zeeland,Province,PV29,165.0
people_in_debt,2000,Zeeland,Province,PV29,325.0
people_in_debt,2001,Zeeland,Province,PV29,560.0
people_in_debt,2002,Zeeland,Province,PV29,705.0
people_in_debt,2003,Zeeland,Province,PV29,790.0
people_in_debt,2004,Zeeland,Province,PV29,965.0
people_in_debt,2005,Zeeland,Province,PV29,1045.0
people_in_debt,2006,Zeeland,Province,PV29,1210.0
people_in_debt,2007,Zeeland,Province,PV29,1480.0
people_in_debt,2008,Zeeland,Province,PV29,1330.0
people_in_debt,2009,Zeeland,Province,PV29,955.0
people_in_debt,2010,Zeeland,Province,PV29,700.0
people_in_debt,2011,Zeeland,Province,PV29,695.0
people_in_debt,2012,Zeeland,Province,PV29,885.0
people_in_debt,2013,Zeeland,Province,PV29,1000.0
