dataset,time_period,region_name,region_type,region_code,property_value
people_in_debt,2019,Nederland,Country,NL01,250.0
people_in_debt,2020,Nederland,Country,NL01,271.0
people_in_debt,2021,Nederland,Country,NL01,290.0
people_in_debt,2022,Nederland,Country,NL01,317.0
people_in_debt,2023,Nederland,Country,NL01,369.0
people_in_debt,2019,Groningen,Province,PV20,177.0
people_in_debt,2020,Groningen,Province,PV20,190.0
people_in_debt,2021,Groningen,Province,PV20,205.0
people_in_debt,2022,Groningen,Province,PV20,229.0
people_in_debt,2023,Groningen,Province,PV20,268.0
people_in_debt,2019,Fryslân,Province,PV21,190.0
people_in_debt,2020,Fryslân,Province,PV21,202.0
people_in_debt,2021,Fryslân,Province,PV21,217.0
people_in_debt,2022,Fryslân,Province,PV21,241.0
people_in_debt,2023,Fryslân,Province,PV21,278.0
people_in_debt,2019,Drenthe,Province,PV22,203.0
people_in_debt,2020,Drenthe,Province,PV22,215.0
people_in_debt,2021,Drenthe,Province,PV22,230.0
people_in_debt,2022,Drenthe,Province,PV22,255.0
people_in_debt,2023,Drenthe,Province,PV22,295.0
people_in_debt,2019,Overijssel,Province,PV23,221.0
people_in_debt,2020,Overijssel,Province,PV23,235.0
people_in_debt,2021,Overijssel,Province,PV23,251.0
people_in_debt,2022,Overijssel,Province,PV23,280.0
people_in_debt,2023,Overijssel,Province,PV23,326.0
people_in_debt,2019,Flevoland,Province,PV24,218.0
people_in_debt,2020,Flevoland,Province,PV24,241.0
people_in_debt,2021,Flevoland,Province,PV24,262.0
people_in_debt,2022,Flevoland,Province,PV24,292.0
people_in_debt,2023,Flevoland,Province,PV24,348.0
people_in_debt,2019,Gelderland,Province,PV25,246.0
people_in_debt,2020,Gelderland,Province,PV25,263.0
people_in_debt,2021,Gelderland,Province,PV25,281.0
people_in_debt,2022,Gelderland,Province,PV25,310.0
people_in_debt,2023,Gelderland,Province,PV25,365.0
people_in_debt,2019,Utrecht,Province,PV26,301.0
people_in_debt,2020,Utrecht,Province,PV26,326.0
people_in_debt,2021,Utrecht,Province,PV26,349.0
people_in_debt,2022,Utrecht,Province,PV26,382.0
people_in_debt,2023,Utrecht,Province,PV26,449.0
people_in_debt,2019,Noord-Holland,Province,PV27,318.0
people_in_debt,2020,Noord-Holland,Province,PV27,350.0
people_in_debt,2021,Noord-Holland,Province,PV27,368.0
people_in_debt,2022,Noord-Holland,Province,PV27,394.0
people_in_debt,2023,Noord-Holland,Province,PV27,461.0
people_in_debt,2019,Zuid-Holland,Province,PV28,236.0
people_in_debt,2020,Zuid-Holland,Province,PV28,261.0
people_in_debt,2021,Zuid-Holland,Province,PV28,282.0
people_in_debt,2022,Zuid-Holland,Province,PV28,311.0
people_in_debt,2023,Zuid-Holland,Province,PV28,360.0
people_in_debt,2019,Zeeland,Province,PV29,205.0
people_in_debt,2020,Zeeland,Province,PV29,215.0
people_in_debt,2021,Zeeland,Province,PV29,228.0
people_in_debt,2022,Zeeland,Province,PV29,248.0
people_in_debt,2023,Zeeland,Province,PV29,282.0
people_in_debt,2019,Noord-Brabant,Province,PV30,260.0
people_in_debt,2020,Noord-Brabant,Province,PV30,278.0
people_in_debt,2021,Noord-Brabant,Province,PV30,295.0
people_in_debt,2022,Noord-Brabant,Province,PV30,323.0
people_in_debt,2023,Noord-Brabant,Province,PV30,370.0
people_in_debt,2019,Limburg,Province,PV31,203.0
people_in_debt,2020,Limburg,Province,PV31,218.0
people_in_debt,2021,Limburg,Province,PV31,231.0
people_in_debt,2022,Limburg,Province,PV31,246.0
people_in_debt,2023,Limburg,Province,PV31,289.0
people_in_debt,2019,Aa en Hunze,Municipality,GM1680,241.0
people_in_debt,2020,Aa en Hunze,Municipality,GM1680,257.0
people_in_debt,2021,Aa en Hunze,Municipality,GM1680,271.0
people_in_debt,2022,Aa en Hunze,Municipality,GM1680,298.0
people_in_debt,2023,Aa en Hunze,Municipality,GM1680,342.0
people_in_debt,2019,Aalsmeer,Municipality,GM0358,337.0
people_in_debt,2020,Aalsmeer,Municipality,GM0358,361.0
people_in_debt,2021,Aalsmeer,Municipality,GM0358,383.0
people_in_debt,2022,Aalsmeer,Municipality,GM0358,427.0
people_in_debt,2023,Aalsmeer,Municipality,GM0358,495.0
people_in_debt,2019,Aalten,Municipality,GM0197,209.0
people_in_debt,2020,Aalten,Municipality,GM0197,223.0
people_in_debt,2021,Aalten,Municipality,GM0197,238.0
people_in_debt,2022,Aalten,Municipality,GM0197,265.0
people_in_debt,2023,Aalten,Municipality,GM0197,314.0
people_in_debt,2019,Achtkarspelen,Municipality,GM0059,182.0
people_in_debt,2020,Achtkarspelen,Municipality,GM0059,192.0
people_in_debt,2021,Achtkarspelen,Municipality,GM0059,206.0
people_in_debt,2022,Achtkarspelen,Municipality,GM0059,226.0
people_in_debt,2023,Achtkarspelen,Municipality,GM0059,256.0
people_in_debt,2019,Alblasserdam,Municipality,GM0482,217.0
people_in_debt,2020,Alblasserdam,Municipality,GM0482,234.0
people_in_debt,2021,Alblasserdam,Municipality,GM0482,252.0
people_in_debt,2022,Alblasserdam,Municipality,GM0482,274.0
people_in_debt,2023,Alblasserdam,Municipality,GM0482,325.0
people_in_debt,2019,Albrandswaard,Municipality,GM0613,286.0
people_in_debt,2020,Albrandswaard,Municipality,GM0613,311.0
people_in_debt,2021,Albrandswaard,Municipality,GM0613,332.0
people_in_debt,2022,Albrandswaard,Municipality,GM0613,365.0
people_in_debt,2023,Albrandswaard,Municipality,GM0613,431.0
people_in_debt,2019,Alkmaar,Municipality,GM0361,221.0
people_in_debt,2020,Alkmaar,Municipality,GM0361,243.0
people_in_debt,2021,Alkmaar,Municipality,GM0361,261.0
people_in_debt,2022,Alkmaar,Municipality,GM0361,287.0
people_in_debt,2023,Alkmaar,Municipality,GM0361,342.0
people_in_debt,2019,Almelo,Municipality,GM0141,170.0
people_in_debt,2020,Almelo,Municipality,GM0141,184.0
people_in_debt,2021,Almelo,Municipality,GM0141,198.0
people_in_debt,2022,Almelo,Municipality,GM0141,225.0
people_in_debt,2023,Almelo,Municipality,GM0141,272.0
people_in_debt,2019,Almere,Municipality,GM0034,222.0
people_in_debt,2020,Almere,Municipality,GM0034,251.0
people_in_debt,2021,Almere,Municipality,GM0034,276.0
people_in_debt,2022,Almere,Municipality,GM0034,310.0
people_in_debt,2023,Almere,Municipality,GM0034,363.0
people_in_debt,2019,Alphen aan den Rijn,Municipality,GM0484,246.0
people_in_debt,2020,Alphen aan den Rijn,Municipality,GM0484,264.0
people_in_debt,2021,Alphen aan den Rijn,Municipality,GM0484,282.0
people_in_debt,2022,Alphen aan den Rijn,Municipality,GM0484,309.0
people_in_debt,2023,Alphen aan den Rijn,Municipality,GM0484,360.0
people_in_debt,2019,Alphen-Chaam,Municipality,GM1723,333.0
people_in_debt,2020,Alphen-Chaam,Municipality,GM1723,351.0
people_in_debt,2021,Alphen-Chaam,Municipality,GM1723,372.0
people_in_debt,2022,Alphen-Chaam,Municipality,GM1723,397.0
people_in_debt,2023,Alphen-Chaam,Municipality,GM1723,438.0
people_in_debt,2019,Altena,Municipality,GM1959,257.0
people_in_debt,2020,Altena,Municipality,GM1959,273.0
people_in_debt,2021,Altena,Municipality,GM1959,291.0
people_in_debt,2022,Altena,Municipality,GM1959,320.0
people_in_debt,2023,Altena,Municipality,GM1959,378.0
people_in_debt,2019,Ameland,Municipality,GM0060,246.0
people_in_debt,2020,Ameland,Municipality,GM0060,246.0
people_in_debt,2021,Ameland,Municipality,GM0060,263.0
people_in_debt,2022,Ameland,Municipality,GM0060,311.0
people_in_debt,2023,Ameland,Municipality,GM0060,343.0
people_in_debt,2019,Amersfoort,Municipality,GM0307,283.0
people_in_debt,2020,Amersfoort,Municipality,GM0307,306.0
people_in_debt,2021,Amersfoort,Municipality,GM0307,330.0
people_in_debt,2022,Amersfoort,Municipality,GM0307,367.0
people_in_debt,2023,Amersfoort,Municipality,GM0307,433.0
people_in_debt,2019,Amstelveen,Municipality,GM0362,384.0
people_in_debt,2020,Amstelveen,Municipality,GM0362,420.0
people_in_debt,2021,Amstelveen,Municipality,GM0362,442.0
people_in_debt,2022,Amstelveen,Municipality,GM0362,470.0
people_in_debt,2023,Amstelveen,Municipality,GM0362,528.0
