"ID";"RegioS";"Perioden";"PersonenMetUitgesprokenSchuldsanering_1"
"23";"NL01  ";"2022JJ00";"7345"
"47";"LD01  ";"2022JJ00";"1210"
"71";"LD02  ";"2022JJ00";"1750"
"95";"LD03  ";"2022JJ00";"2975"
"119";"LD04  ";"2022JJ00";"1320"
"143";"LD99  ";"2022JJ00";"85"
"167";"PV20  ";"2022JJ00";"480"
"191";"PV21  ";"2022JJ00";"460"
"215";"PV22  ";"2022JJ00";"270"
"239";"PV23  ";"2022JJ00";"620"
"263";"PV24  ";"2022JJ00";"280"
"287";"PV25  ";"2022JJ00";"850"
"311";"PV26  ";"2022JJ00";"285"
"335";"PV27  ";"2022JJ00";"1060"
"359";"PV28  ";"2022JJ00";"1435"
"383";"PV29  ";"2022JJ00";"195"
"407";"PV30  ";"2022JJ00";"875"
"431";"PV31  ";"2022JJ00";"445"
"455";"PV99  ";"2022JJ00";"85"
"479";"GM1680";"2022JJ00";"10"
"503";"GM0738";"2022JJ00";
"527";"GM0358";"2022JJ00";"10"
"551";"GM0197";"2022JJ00";"15"
"575";"GM0480";"2022JJ00";
"599";"GM0305";"2022JJ00";
"623";"GM0059";"2022JJ00";"25"
"647";"GM0360";"2022JJ00";
"671";"GM0482";"2022JJ00";
"695";"GM0613";"2022JJ00";
"719";"GM0483";"2022JJ00";
"743";"GM0361";"2022JJ00";"35"
"767";"GM0141";"2022JJ00";"75"
"791";"GM0034";"2022JJ00";"170"
"815";"GM0484";"2022JJ00";"25"
"839";"GM1723";"2022JJ00";
"863";"GM1959";"2022JJ00";"20"
"887";"GM0142";"2022JJ00";
"911";"GM1679";"2022JJ00";
"935";"GM0060";"2022JJ00";
"959";"GM0306";"2022JJ00";
"983";"GM0307";"2022JJ00";"45"
"1007";"GM0198";"2022JJ00";
"1031";"GM0362";"2022JJ00";"25"
"1055";"GM0363";"2022JJ00";"375"
"1079";"GM0364";"2022JJ00";
"1103";"GM0199";"2022JJ00";
"1127";"GM0366";"2022JJ00";
"1151";"GM0200";"2022JJ00";"40"
"1175";"GM0003";"2022JJ00";
"1199";"GM0885";"2022JJ00";
"1223";"GM0202";"2022JJ00";"125"
"1247";"GM0106";"2022JJ00";"40"
"1271";"GM0743";"2022JJ00";"10"
"1295";"GM0143";"2022JJ00";
"1319";"GM0650";"2022JJ00";
"1343";"GM0744";"2022JJ00";
"1367";"GM0308";"2022JJ00";
"1391";"GM0489";"2022JJ00";"15"
"1415";"GM0203";"2022JJ00";
"1439";"GM0144";"2022JJ00";
"1463";"GM0005";"2022JJ00";
"1487";"GM0888";"2022JJ00";
"1511";"GM1954";"2022JJ00";"10"
"1535";"GM0370";"2022JJ00";
"1559";"GM0889";"2022JJ00";"15"
"1583";"GM0890";"2022JJ00";
"1607";"GM0007";"2022JJ00";
"1631";"GM0206";"2022JJ00";
"1655";"GM0372";"2022JJ00";
"1679";"GM1945";"2022JJ00";"15"
"1703";"GM0491";"2022JJ00";
"1727";"GM1724";"2022JJ00";
"1751";"GM0893";"2022JJ00";
"1775";"GM0373";"2022JJ00";
"1799";"GM0748";"2022JJ00";"30"
"1823";"GM0749";"2022JJ00";
"1847";"GM0207";"2022JJ00";
"1871";"GM0492";"2022JJ00";
"1895";"GM0493";"2022JJ00";
"1919";"GM1859";"2022JJ00";"10"
"1943";"GM1721";"2022JJ00";"10"
"1967";"GM0568";"2022JJ00";
"1991";"GM0753";"2022JJ00";
"2015";"GM0209";"2022JJ00";
"2039";"GM0375";"2022JJ00";"30"
"2063";"GM0063";"2022JJ00";
"2087";"GM0310";"2022JJ00";
"2111";"GM0585";"2022JJ00";
"2135";"GM1728";"2022JJ00";
"2159";"GM0376";"2022JJ00";
"2183";"GM0495";"2022JJ00";
"2207";"GM0377";"2022JJ00";
"2231";"GM0055";"2022JJ00";
"2255";"GM0497";"2022JJ00";
"2279";"GM1901";"2022JJ00";
"2303";"GM0755";"2022JJ00";
"2327";"GM0009";"2022JJ00";
"2351";"GM0064";"2022JJ00";
"2375";"GM0211";"2022JJ00";
"2399";"GM1681";"2022JJ00";"20"
"2423";"GM0897";"2022JJ00";
"2447";"GM0147";"2022JJ00";"15"
"2471";"GM0654";"2022JJ00";
"2495";"GM0499";"2022JJ00";
"2519";"GM0756";"2022JJ00";
"2543";"GM0757";"2022JJ00";"10"
"2567";"GM0212";"2022JJ00";
"2591";"GM0758";"2022JJ00";"90"
"2615";"GM0194";"2022JJ00";
"2639";"GM0311";"2022JJ00";
"2663";"GM0501";"2022JJ00";
"2687";"GM0898";"2022JJ00";
"2711";"GM1876";"2022JJ00";"10"
"2735";"GM0213";"2022JJ00";"10"
"2759";"GM0899";"2022JJ00";"15"
"2783";"GM0759";"2022JJ00";
"2807";"GM0312";"2022JJ00";
"2831";"GM0313";"2022JJ00";
"2855";"GM0214";"2022JJ00";"20"
"2879";"GM0381";"2022JJ00";
"2903";"GM0502";"2022JJ00";"60"
"2927";"GM0383";"2022JJ00";
"2951";"GM0109";"2022JJ00";"20"
"2975";"GM1706";"2022JJ00";
"2999";"GM0611";"2022JJ00";
"3023";"GM1684";"2022JJ00";
"3047";"GM0216";"2022JJ00";
"3071";"GM0148";"2022JJ00";
"3095";"GM0065";"2022JJ00";
"3119";"GM1891";"2022JJ00";"10"
"3143";"GM0503";"2022JJ00";"15"
"3167";"GM0010";"2022JJ00";
"3191";"GM0149";"2022JJ00";
"3215";"GM0762";"2022JJ00";"10"
"3239";"GM0150";"2022JJ00";"45"
"3263";"GM0218";"2022JJ00";
"3287";"GM0384";"2022JJ00";"15"
"3311";"GM0151";"2022JJ00";
"3335";"GM0152";"2022JJ00";
"3359";"GM1774";"2022JJ00";
"3383";"GM0219";"2022JJ00";
"3407";"GM0504";"2022JJ00";
"3431";"GM0220";"2022JJ00";
"3455";"GM0221";"2022JJ00";"20"
"3479";"GM0222";"2022JJ00";"35"
"3503";"GM0766";"2022JJ00";"10"
"3527";"GM0058";"2022JJ00";
"3551";"GM0315";"2022JJ00";
"3575";"GM0505";"2022JJ00";"90"
"3599";"GM0498";"2022JJ00";
"3623";"GM0316";"2022JJ00";
"3647";"GM1719";"2022JJ00";
"3671";"GM0303";"2022JJ00";"15"
"3695";"GM0225";"2022JJ00";
"3719";"GM0226";"2022JJ00";"25"
"3743";"GM0902";"2022JJ00";
"3767";"GM0227";"2022JJ00";
"3791";"GM1711";"2022JJ00";
"3815";"GM0385";"2022JJ00";
"3839";"GM0228";"2022JJ00";"25"
"3863";"GM0317";"2022JJ00";
"3887";"GM1651";"2022JJ00";
"3911";"GM0770";"2022JJ00";"10"
"3935";"GM0357";"2022JJ00";
"3959";"GM0229";"2022JJ00";
"3983";"GM0905";"2022JJ00";
"4007";"GM1903";"2022JJ00";
"4031";"GM0772";"2022JJ00";"35"
"4055";"GM0230";"2022JJ00";"15"
"4079";"GM0231";"2022JJ00";
"4103";"GM0114";"2022JJ00";"100"
"4127";"GM0388";"2022JJ00";
"4151";"GM0153";"2022JJ00";"165"
"4175";"GM0232";"2022JJ00";"15"
"4199";"GM0233";"2022JJ00";"10"
"4223";"GM0777";"2022JJ00";"15"
"4247";"GM0068";"2022JJ00";
"4271";"GM1722";"2022JJ00";
"4295";"GM0070";"2022JJ00";
"4319";"GM1921";"2022JJ00";
"4343";"GM1940";"2022JJ00";"25"
"4367";"GM0653";"2022JJ00";
"4391";"GM0779";"2022JJ00";"10"
"4415";"GM0236";"2022JJ00";
"4439";"GM0781";"2022JJ00";
"4463";"GM1771";"2022JJ00";
"4487";"GM0906";"2022JJ00";
"4511";"GM1652";"2022JJ00";
"4535";"GM0237";"2022JJ00";
"4559";"GM0238";"2022JJ00";
"4583";"GM0154";"2022JJ00";
"4607";"GM0907";"2022JJ00";"10"
"4631";"GM0689";"2022JJ00";
"4655";"GM0784";"2022JJ00";"10"
"4679";"GM0511";"2022JJ00";
"4703";"GM1924";"2022JJ00";"35"
"4727";"GM0664";"2022JJ00";"10"
"4751";"GM0785";"2022JJ00";
"4775";"GM1942";"2022JJ00";"30"
"4799";"GM0156";"2022JJ00";
"4823";"GM0512";"2022JJ00";"15"
"4847";"GM0239";"2022JJ00";
"4871";"GM0513";"2022JJ00";"15"
"4895";"GM0693";"2022JJ00";
"4919";"GM0365";"2022JJ00";
"4943";"GM0157";"2022JJ00";
