ID,Leeftijd,Perioden,KinderenMetKansOpArmoede_2,KinderenMetKansOpArmoedeRelatief_3,Key,Title,Description
241,41300,2021JJ00,0.3,6.3,GM1680,Aa en Hunze,Ontstaan per 01-01-1998
252,41300,2021JJ00,,,GM0738,Aalburg,"Opgeheven per 01-01-2019
Ontstaan per 01-01-1973"
263,41300,2021JJ00,0.3,5.0,GM0358,Aalsmeer,Begindatum voor 1830
274,41300,2021JJ00,0.3,5.6,GM0197,Aalten,"Gemeentelijke herindeling per 01-01-2005
Begindatum voor 1830"
285,41300,2021JJ00,0.5,8.3,GM0059,Achtkarspelen,Begindatum voor 1830
296,41300,2021JJ00,0.3,5.9,GM0482,Alblasserdam,Begindatum voor 1830
307,41300,2021JJ00,0.3,5.7,GM0613,Albrandswaard,Ontstaan per 01-01-1985
318,41300,2021JJ00,1.8,9.3,GM0361,Alkmaar,"Gemeentelijke herindeling per 01-01-2015
Begindatum voor 1830"
329,41300,2021JJ00,1.7,12.8,GM0141,Almelo,Begindatum 01-12-1913
340,41300,2021JJ00,4.8,10.6,GM0034,Almere,Ontstaan per 01-01-1984
351,41300,2021JJ00,1.3,6.0,GM0484,Alphen aan den Rijn,"Gemeentelijke herindeling per 01-01-2014
Naamswijziging per 01-01-1918"
362,41300,2021JJ00,0.1,4.5,GM1723,Alphen-Chaam,Ontstaan per 01-01-1997
373,41300,2021JJ00,0.5,4.5,GM1959,Altena,Ontstaan per 01-01-2019
384,41300,2021JJ00,0.0,3.0,GM0060,Ameland,Begindatum voor 1830
395,41300,2021JJ00,2.5,7.6,GM0307,Amersfoort,Begindatum voor 1830
406,41300,2021JJ00,1.2,6.8,GM0362,Amstelveen,Naamswijziging per 01-01-1964
417,41300,2021JJ00,23.9,17.5,GM0363,Amsterdam,"Gemeentelijke herindeling per 24-03-2022
Begindatum voor 1830"
428,41300,2021JJ00,,,GM0366,Anna Paulowna,"Opgeheven per 01-01-2012
Begindatum 18-07-1870"
439,41300,2021JJ00,2.5,8.2,GM0200,Apeldoorn,Begindatum voor 1830
