region_code,period,population
NL01,2002-01,16112900.0
NL01,2002-02,16118953.0
NL01,2002-03,16124125.0
NL01,2002-04,16130246.0
NL01,2002-05,16136807.0
NL01,2002-06,16142509.0
NL01,2002-07,16150395.0
NL01,2002-08,16161182.0
NL01,2002-09,16172237.0
NL01,2002-10,16181025.0
NL01,2002-11,16186463.0
NL01,2002-12,16192572.0
NL01,2003-01,16197712.0
NL01,2003-02,16202461.0
NL01,2003-03,16206096.0
NL01,2003-04,16210401.0
NL01,2003-05,16216206.0
NL01,2003-06,16220466.0
NL01,2003-07,16224335.0
NL01,2003-08,16231660.0
NL01,2003-09,16240940.0
NL01,2003-10,16247162.0
NL01,2003-11,16250434.0
NL01,2003-12,16258032.0
NL01,2004-01,16259377.0
NL01,2004-02,16261277.0
NL01,2004-03,16262757.0
NL01,2004-04,16264229.0
NL01,2004-05,16268052.0
NL01,2004-06,16272506.0
NL01,2004-07,16275863.0
NL01,2004-08,16281256.0
NL01,2004-09,16289585.0
NL01,2004-10,16293737.0
NL01,2004-11,16297779.0
NL01,2004-12,16305526.0
NL01,2005-01,16306977.0
NL01,2005-02,16307888.0
NL01,2005-03,16307482.0
NL01,2005-04,16308869.0
NL01,2005-05,16311019.0
NL01,2005-06,16312596.0
NL01,2005-07,16315238.0
NL01,2005-08,16319511.0
NL01,2005-09,16327575.0
NL01,2005-10,16330818.0
NL01,2005-11,16331930.0
NL01,2005-12,16334210.0
NL01,2006-01,16334715.0
NL01,2006-02,16335459.0
NL01,2006-03,16334090.0
NL01,2006-04,16333559.0
NL01,2006-05,16334600.0
NL01,2006-06,16336676.0
NL01,2006-07,16337253.0
NL01,2006-08,16342333.0
NL01,2006-09,16348917.0
NL01,2006-10,16352678.0
NL01,2006-11,16352972.0
NL01,2006-12,16357992.0
NL01,2007-01,16359133.0
NL01,2007-02,16362938.0
NL01,2007-03,16365065.0
NL01,2007-04,16367596.0
NL01,2007-05,16371278.0
NL01,2007-06,16374541.0
NL01,2007-07,16377339.0
NL01,2007-08,16383275.0
NL01,2007-09,16393843.0
NL01,2007-10,16399139.0
NL01,2007-11,16401009.0
NL01,2007-12,16405399.0
NL01,2008-01,16409106.0
NL01,2008-02,16414307.0
NL01,2008-03,16418055.0
NL01,2008-04,16423337.0
NL01,2008-05,16428686.0
NL01,2008-06,16434935.0
NL01,2008-07,16440452.0
NL01,2008-08,16449092.0
NL01,2008-09,16464859.0
NL01,2008-10,16473709.0
NL01,2008-11,16479291.0
NL01,2008-12,16485787.0
NL01,2009-01,16489042.0
NL01,2009-02,16495231.0
NL01,2009-03,16501683.0
NL01,2009-04,16506782.0
NL01,2009-05,16513615.0
NL01,2009-06,16520661.0
NL01,2009-07,16528400.0
NL01,2009-08,16538542.0
NL01,2009-09,16554596.0
NL01,2009-10,16562317.0
NL01,2009-11,16568499.0
NL01,2009-12,16574989.0
NL01,2010-01,16578604.0
NL01,2010-02,16585167.0
NL01,2010-03,16588947.0
NL01,2010-04,16593973.0
NL01,2010-05,16599333.0
NL01,2010-06,16606135.0
NL01,2010-07,16611675.0
NL01,2010-08,16624215.0
NL01,2010-09,16638805.0
NL01,2010-10,16648268.0
NL01,2010-11,16654119.0
NL01,2010-12,16655799.0
NL01,2011-01,16661142.0
NL01,2011-02,16669012.0
NL01,2011-03,16673931.0
NL01,2011-04,16676905.0
NL01,2011-05,16681513.0
NL01,2011-06,16686550.0
NL01,2011-07,16690580.0
NL01,2011-08,16703472.0
NL01,2011-09,16719078.0
NL01,2011-10,16725328.0
NL01,2011-11,16729674.0
NL01,2011-12,16730348.0
NL01,2012-01,16731280.0
NL01,2012-02,16735690.0
NL01,2012-03,16737631.0
NL01,2012-04,16739764.0
NL01,2012-05,16742830.0
NL01,2012-06,16744696.0
NL01,2012-07,16746558.0
NL01,2012-08,16758167.0
NL01,2012-09,16772610.0
NL01,2012-10,16778726.0
NL01,2012-11,16781377.0
NL01,2012-12,16779575.0
NL01,2013-01,16781367.0
NL01,2013-02,16783870.0
NL01,2013-03,16784986.0
NL01,2013-04,16785783.0
NL01,2013-05,16788992.0
NL01,2013-06,16792122.0
NL01,2013-07,16795289.0
NL01,2013-08,16805879.0
NL01,2013-09,16820076.0
NL01,2013-10,16825762.0
NL01,2013-11,16829252.0
NL01,2013-12,16829289.0
NL01,2014-01,16833919.0
NL01,2014-02,16840299.0
NL01,2014-03,16844980.0
NL01,2014-04,16849473.0
NL01,2014-05,16853737.0
NL01,2014-06,16857811.0
NL01,2014-07,16859859.0
NL01,2014-08,16870851.0
NL01,2014-09,16887455.0
NL01,2014-10,16895020.0
NL01,2014-11,16900158.0
NL01,2014-12,16900726.0
NL01,2015-01,16902755.0
NL01,2015-02,16907260.0
NL01,2015-03,16909935.0
NL01,2015-04,16913226.0
NL01,2015-05,16916874.0
NL01,2015-06,16920914.0
NL01,2015-07,16924103.0
NL01,2015-08,16938111.0
NL01,2015-09,16957471.0
NL01,2015-10,16967044.0
NL01,2015-11,16975465.0
NL01,2015-12,16979120.0
NL01,2016-01,16983680.0
NL01,2016-02,16992010.0
NL01,2016-03,16997917.0
NL01,2016-04,17003531.0
NL01,2016-05,17011291.0
NL01,2016-06,17018050.0
NL01,2016-07,17022674.0
NL01,2016-08,17042542.0
NL01,2016-09,17062489.0
NL01,2016-10,17072044.0
NL01,2016-11,17079787.0
NL01,2016-12,17081507.0
NL01,2017-01,17083783.0
NL01,2017-02,17091456.0
NL01,2017-03,17098835.0
NL01,2017-04,17104960.0
NL01,2017-05,17111589.0
NL01,2017-06,17116868.0
NL01,2017-07,17120835.0
NL01,2017-08,17140861.0
NL01,2017-09,17162311.0
NL01,2017-10,17172903.0
NL01,2017-11,17180690.0
NL01,2017-12,17181084.0
NL01,2018-01,17185477.0
NL01,2018-02,17192306.0
NL01,2018-03,17193102.0
NL01,2018-04,17198900.0
NL01,2018-05,17207980.0
NL01,2018-06,17213114.0
NL01,2018-07,17217598.0
NL01,2018-08,17238230.0
NL01,2018-09,17259797.0
NL01,2018-10,17271231.0
NL01,2018-11,17280580.0
NL01,2018-12,17282163.0
NL01,2019-01,17290020.0
NL01,2019-02,17299343.0
NL01,2019-03,17305699.0
NL01,2019-04,17313391.0
NL01,2019-05,17321990.0
NL01,2019-06,17327985.0
NL01,2019-07,17335151.0
NL01,2019-08,17359352.0
NL01,2019-09,17385377.0
NL01,2019-10,17399364.0
NL01,2019-11,17407162.0
NL01,2019-12,17407585.0
NL01,2020-01,17413971.0
NL01,2020-02,17423863.0
NL01,2020-03,17424257.0
NL01,2020-04,17419652.0
NL01,2020-05,17421805.0
NL01,2020-06,17425798.0
NL01,2020-07,17430920.0
NL01,2020-08,17444824.0
NL01,2020-09,17465296.0
NL01,2020-10,17472440.0
NL01,2020-11,17476482.0
NL01,2020-12,17475415.0
NL01,2021-01,17476055.0
NL01,2021-02,17482364.0
NL01,2021-03,17488669.0
NL01,2021-04,17494713.0
NL01,2021-05,17500964.0
NL01,2021-06,17507902.0
NL01,2021-07,17515876.0
NL01,2021-08,17537782.0
NL01,2021-09,17568289.0
NL01,2021-10,17582665.0
NL01,2021-11,17591045.0
NL01,2021-12,17590672.0
NL01,2022-01,17597138.0
NL01,2022-02,17608511.0
NL01,2022-03,17641242.0
NL01,2022-04,17674959.0
NL01,2022-05,17695767.0
NL01,2022-06,17709879.0
NL01,2022-07,17719705.0
NL01,2022-08,17749472.0
NL01,2022-09,17781465.0
NL01,2022-10,17796366.0
NL01,2022-11,17809895.0
NL01,2022-12,17811291.0
NL01,2023-01,17817202.0
NL01,2023-02,17829796.0
NL01,2023-03,17838716.0
NL01,2023-04,17846084.0
NL01,2023-05,17857134.0
NL01,2023-06,17866118.0
NL01,2023-07,17872724.0
NL01,2023-08,17897051.0
NL01,2023-09,17922001.0
LD01,2002-01,1686177.0
LD01,2002-02,1686673.0
LD01,2002-03,1686835.0
LD01,2002-04,1687049.0
LD01,2002-05,1687580.0
LD01,2002-06,1688095.0
LD01,2002-07,1689223.0
LD01,2002-08,1690900.0
LD01,2002-09,1692103.0
LD01,2002-10,1692986.0
LD01,2002-11,1693466.0
LD01,2002-12,1694038.0
LD01,2003-01,1694248.0
LD01,2003-02,1694575.0
LD01,2003-03,1694539.0
LD01,2003-04,1694580.0
LD01,2003-05,1694663.0
LD01,2003-06,1694954.0
LD01,2003-07,1695663.0
LD01,2003-08,1696426.0
LD01,2003-09,1697209.0
LD01,2003-10,1697790.0
LD01,2003-11,1698160.0
LD01,2003-12,1698865.0
LD01,2004-01,1698794.0
LD01,2004-02,1698753.0
LD01,2004-03,1698563.0
LD01,2004-04,1698395.0
LD01,2004-05,1698447.0
LD01,2004-06,1698524.0
LD01,2004-07,1698768.0
LD01,2004-08,1699725.0
