"ID";"Leeftijd";"RegioS";"Perioden";"KinderenMetKansOpArmoede_2";"KinderenMetKansOpArmoedeRelatief_3"
"10";"41300";"NL01  ";"2021JJ00";"299.3";"9.4"
"21";"41300";"LD01  ";"2021JJ00";"28.9";"9.5"
"32";"41300";"LD02  ";"2021JJ00";"55.8";"7.9"
"43";"41300";"LD03  ";"2021JJ00";"159";"10.3"
"54";"41300";"LDG4  ";"2021JJ00";;
"65";"41300";"LD04  ";"2021JJ00";"55.6";"8.9"
"76";"41300";"LDZZ  ";"2021JJ00";;
"87";"41300";"LD98  ";"2021JJ00";;
"98";"41300";"LD99  ";"2021JJ00";;
"109";"41300";"PV20  ";"2021JJ00";"11.1";"11.8"
"120";"41300";"PV21  ";"2021JJ00";"10.4";"8.6"
"131";"41300";"PV22  ";"2021JJ00";"7.4";"8.4"
"142";"41300";"PV23  ";"2021JJ00";"17.7";"7.9"
"153";"41300";"PV24  ";"2021JJ00";"8.7";"9.6"
"164";"41300";"PV25  ";"2021JJ00";"29.4";"7.6"
"175";"41300";"PV26  ";"2021JJ00";"20.4";"7.5"
"186";"41300";"PV27  ";"2021JJ00";"54";"10.4"
"197";"41300";"PV28  ";"2021JJ00";"79.3";"11.4"
"208";"41300";"PV29  ";"2021JJ00";"5.3";"7.9"
"219";"41300";"PV30  ";"2021JJ00";"37.1";"8.2"
"230";"41300";"PV31  ";"2021JJ00";"18.5";"11"
"241";"41300";"GM1680";"2021JJ00";"0.3";"6.3"
"252";"41300";"GM0738";"2021JJ00";;
"263";"41300";"GM0358";"2021JJ00";"0.3";"5"
"274";"41300";"GM0197";"2021JJ00";"0.3";"5.6"
"285";"41300";"GM0059";"2021JJ00";"0.5";"8.3"
"296";"41300";"GM0482";"2021JJ00";"0.3";"5.9"
"307";"41300";"GM0613";"2021JJ00";"0.3";"5.7"
"318";"41300";"GM0361";"2021JJ00";"1.8";"9.3"
"329";"41300";"GM0141";"2021JJ00";"1.7";"12.8"
"340";"41300";"GM0034";"2021JJ00";"4.8";"10.6"
"351";"41300";"GM0484";"2021JJ00";"1.3";"6"
"362";"41300";"GM1723";"2021JJ00";"0.1";"4.5"
"373";"41300";"GM1959";"2021JJ00";"0.5";"4.5"
"384";"41300";"GM0060";"2021JJ00";"0";"3"
"395";"41300";"GM0307";"2021JJ00";"2.5";"7.6"
"406";"41300";"GM0362";"2021JJ00";"1.2";"6.8"
"417";"41300";"GM0363";"2021JJ00";"23.9";"17.5"
"428";"41300";"GM0366";"2021JJ00";;
"439";"41300";"GM0200";"2021JJ00";"2.5";"8.2"
"450";"41300";"GM0003";"2021JJ00";;
"461";"41300";"GM0202";"2021JJ00";"4.1";"14.3"
"472";"41300";"GM0106";"2021JJ00";"1.3";"9.7"
"483";"41300";"GM0743";"2021JJ00";"0.1";"4.6"
"494";"41300";"GM0744";"2021JJ00";"0.1";"6.2"
"505";"41300";"GM0308";"2021JJ00";"0.3";"6.4"
"516";"41300";"GM0489";"2021JJ00";"0.5";"5.1"
"527";"41300";"GM0203";"2021JJ00";"0.6";"4.2"
"538";"41300";"GM0005";"2021JJ00";;
"549";"41300";"GM0888";"2021JJ00";"0.2";"9.6"
"560";"41300";"GM1954";"2021JJ00";"0.4";"7.7"
"571";"41300";"GM0370";"2021JJ00";"0.1";"4.4"
"582";"41300";"GM0889";"2021JJ00";"0.2";"10.1"
"593";"41300";"GM0007";"2021JJ00";;
"604";"41300";"GM1945";"2021JJ00";"0.5";"8.4"
"615";"41300";"GM0491";"2021JJ00";;
"626";"41300";"GM1724";"2021JJ00";"0.1";"4.1"
"637";"41300";"GM0893";"2021JJ00";"0.1";"6.5"
"648";"41300";"GM0373";"2021JJ00";"0.2";"5.4"
"659";"41300";"GM0748";"2021JJ00";"1.4";"12"
"670";"41300";"GM1859";"2021JJ00";"0.5";"6"
"681";"41300";"GM1721";"2021JJ00";"0.3";"4.7"
"692";"41300";"GM0568";"2021JJ00";;
"703";"41300";"GM0753";"2021JJ00";"0.3";"5.8"
"714";"41300";"GM0209";"2021JJ00";"0.3";"6.2"
"725";"41300";"GM0375";"2021JJ00";"0.8";"10.5"
"736";"41300";"GM0063";"2021JJ00";;
"747";"41300";"GM0310";"2021JJ00";"0.6";"6.7"
"758";"41300";"GM0585";"2021JJ00";;
"769";"41300";"GM1728";"2021JJ00";"0.1";"4"
"780";"41300";"GM0376";"2021JJ00";"0.1";"5.2"
"791";"41300";"GM0377";"2021JJ00";"0.2";"3.8"
"802";"41300";"GM0055";"2021JJ00";;
"813";"41300";"GM1901";"2021JJ00";"0.4";"4.9"
"824";"41300";"GM0755";"2021JJ00";"0.1";"4.1"
"835";"41300";"GM0009";"2021JJ00";;
"846";"41300";"GM1681";"2021JJ00";"0.3";"7.3"
"857";"41300";"GM0147";"2021JJ00";"0.2";"4.8"
"868";"41300";"GM0654";"2021JJ00";"0.2";"4.4"
"879";"41300";"GM0499";"2021JJ00";;
"890";"41300";"GM0756";"2021JJ00";"0.3";"6.5"
"901";"41300";"GM0757";"2021JJ00";"0.4";"7.5"
"912";"41300";"GM0758";"2021JJ00";"3";"9.1"
"923";"41300";"GM0501";"2021JJ00";"0.2";"6.6"
