Perioden,Title,KinderenMetKansOpArmoedeRelatief_3
2011JJ00,'s-Gravenhage (gemeente),80.3
2011JJ00,'s-Hertogenbosch,45.2
2011JJ00,Aa en Hunze,25.6
2011JJ00,Aalburg,18.9
2011JJ00,Aalsmeer,18.4
2011JJ00,Aalten,22.0
2011JJ00,Achtkarspelen,34.7
2011JJ00,Alblasserdam,26.0
2011JJ00,Albrandswaard,23.6
2011JJ00,Alkmaar,46.0
2011JJ00,Almelo,54.2
2011JJ00,Almere,50.4
2011JJ00,Alphen aan den Rijn,31.2
2011JJ00,Alphen-Chaam,17.2
2011JJ00,Altena,0.0
2011JJ00,Ameland,17.7
2011JJ00,Amersfoort,36.6
2011JJ00,Amstelveen,29.2
2011JJ00,Amsterdam,98.8
2011JJ00,Anna Paulowna,29.7
2011JJ00,Apeldoorn,34.6
2011JJ00,Appingedam,59.9
2011JJ00,Arnhem,70.4
2011JJ00,Assen,44.9
2011JJ00,Asten,30.0
2011JJ00,Baarle-Nassau,20.8
2011JJ00,Baarn,31.9
2011JJ00,Barendrecht,24.6
2011JJ00,Barneveld,22.1
2011JJ00,Bedum,27.0
2011JJ00,Beek (L.),34.9
2011JJ00,Beekdaelen,0.0
2011JJ00,Beemster,26.6
2011JJ00,Beesel,39.9
2011JJ00,Bellingwedde,44.6
2011JJ00,Berg en Dal,0.0
2011JJ00,Bergambacht,18.5
2011JJ00,Bergeijk,20.8
2011JJ00,Bergen (L.),26.4
2011JJ00,Bergen (NH.),30.2
2011JJ00,Bergen op Zoom,50.6
2011JJ00,Berkelland,22.4
2011JJ00,Bernheze,24.6
2011JJ00,Bernisse,19.0
2011JJ00,Best,25.3
2011JJ00,Beuningen,24.8
2011JJ00,Beverwijk,44.3
2011JJ00,Binnenmaas,20.1
2011JJ00,Bladel,20.1
2011JJ00,Blaricum,29.5
2011JJ00,Bloemendaal,23.8
2011JJ00,Boarnsterhim,27.8
2011JJ00,Bodegraven-Reeuwijk,20.7
2011JJ00,Boekel,27.4
2011JJ00,Borger-Odoorn,34.8
2011JJ00,Borne,28.2
2011JJ00,Borsele,18.3
2011JJ00,Boskoop,29.2
2011JJ00,Boxmeer,24.5
2011JJ00,Boxtel,35.8
2011JJ00,Breda,44.7
2011JJ00,Brielle,25.4
2011JJ00,Bronckhorst,22.8
2011JJ00,Brummen,27.4
2011JJ00,Brunssum,65.1
2011JJ00,Bunnik,12.0
2011JJ00,Bunschoten,13.9
2011JJ00,Buren,26.7
2011JJ00,Bussum,25.3
2011JJ00,Capelle aan den IJssel,62.5
2011JJ00,Castricum,18.2
2011JJ00,Coevorden,42.8
2011JJ00,Cranendonck,27.2
2011JJ00,Cromstrijen,15.8
2011JJ00,Cuijk,37.6
2011JJ00,Culemborg,37.8
2011JJ00,Dalfsen,21.4
2011JJ00,Dantumadiel,32.4
2011JJ00,De Bilt,29.3
2011JJ00,De Friese Meren,0.0
2011JJ00,De Fryske Marren,0.0
2011JJ00,De Marne,48.4
2011JJ00,De Ronde Venen,24.5
2011JJ00,De Wolden,23.8
2011JJ00,Delft,62.1
2011JJ00,Delfzijl,50.3
2011JJ00,Den Helder,59.3
2011JJ00,Deurne,30.6
2011JJ00,Deventer,42.7
2011JJ00,Diemen,49.1
2011JJ00,Dijk en Waard,0.0
2011JJ00,Dinkelland,19.9
2011JJ00,Dirksland,20.4
2011JJ00,Doesburg,58.4
2011JJ00,Doetinchem,34.2
2011JJ00,Dongen,25.9
2011JJ00,Dongeradeel,35.1
2011JJ00,Dordrecht,54.6
2011JJ00,Drechterland,22.1
2011JJ00,Drimmelen,18.9
2011JJ00,Dronten,39.2
2011JJ00,Druten,29.8
2011JJ00,Duiven,24.5
2011JJ00,Echt-Susteren,33.0
2011JJ00,Edam-Volendam,16.3
2011JJ00,Ede,32.4
2011JJ00,Eemnes,22.0
2011JJ00,Eemsdelta,0.0
2011JJ00,Eemsmond,37.7
2011JJ00,Eersel,20.5
2011JJ00,Eijsden-Margraten,20.8
2011JJ00,Eindhoven,58.2
2011JJ00,Elburg,20.3
2011JJ00,Emmen,49.7
2011JJ00,Enkhuizen,37.9
2011JJ00,Enschede,69.5
2011JJ00,Epe,28.8
2011JJ00,Ermelo,23.7
2011JJ00,Etten-Leur,33.0
2011JJ00,Ferwerderadiel,26.3
2011JJ00,Franekeradeel,41.7
2011JJ00,Gaasterlân-Sleat,25.0
2011JJ00,Geertruidenberg,24.7
2011JJ00,Geldermalsen,24.1
2011JJ00,Geldrop-Mierlo,36.1
2011JJ00,Gemert-Bakel,29.9
2011JJ00,Gennep,32.4
2011JJ00,Giessenlanden,18.7
2011JJ00,Gilze en Rijen,31.3
2011JJ00,Goedereede,16.7
2011JJ00,Goeree-Overflakkee,0.0
2011JJ00,Goes,34.5
2011JJ00,Goirle,25.4
2011JJ00,Gooise Meren,0.0
2011JJ00,Gorinchem,40.8
2011JJ00,Gouda,44.3
2011JJ00,Graafstroom,10.1
2011JJ00,Graft-De Rijp,16.7
2011JJ00,Grave,23.4
2011JJ00,Groesbeek,30.8
2011JJ00,Groningen (gemeente),70.4
2011JJ00,Grootegast,27.6
2011JJ00,Gulpen-Wittem,26.8
2011JJ00,Haaksbergen,24.5
2011JJ00,Haaren,17.2
2011JJ00,Haarlem,43.8
2011JJ00,Haarlemmerliede en Spaarnwoude,26.9
2011JJ00,Haarlemmermeer,24.4
2011JJ00,Halderberge,33.0
2011JJ00,Hardenberg,24.9
2011JJ00,Harderwijk,35.6
2011JJ00,Hardinxveld-Giessendam,13.4
2011JJ00,Haren,19.9
2011JJ00,Harenkarspel,22.7
2011JJ00,Harlingen,53.8
2011JJ00,Hattem,22.7
2011JJ00,Heemskerk,41.8
2011JJ00,Heemstede,19.9
2011JJ00,Heerde,22.8
2011JJ00,Heerenveen,37.2
2011JJ00,Heerhugowaard,30.3
2011JJ00,Heerlen,86.1
2011JJ00,Heeze-Leende,21.6
2011JJ00,Heiloo,16.4
2011JJ00,Hellendoorn,26.8
2011JJ00,Hellevoetsluis,35.4
2011JJ00,Helmond,49.8
2011JJ00,Hendrik-Ido-Ambacht,20.9
2011JJ00,Hengelo (O.),45.1
2011JJ00,Het Hogeland,0.0
2011JJ00,Heumen,17.9
2011JJ00,Heusden,29.7
2011JJ00,Hillegom,27.9
2011JJ00,Hilvarenbeek,21.5
2011JJ00,Hilversum,37.7
2011JJ00,Hoeksche Waard,0.0
2011JJ00,Hof van Twente,22.6
2011JJ00,Hollands Kroon,0.0
2011JJ00,Hoogeveen,41.1
