Title,KinderenMetKansOpArmoedeRelatief_3,KinderenMetKansOpArmoede_2
's-Gravenhage (gemeente),65.1,32.8
's-Hertogenbosch,35.9,4.9
Aa en Hunze,25.5,0.6
Aalburg,0.0,0.0
Aalsmeer,19.7,0.6
Aalten,22.2,0.6
Achtkarspelen,33.0,1.0
Alblasserdam,23.700000000000003,0.6
Albrandswaard,23.0,0.6
Alkmaar,37.2,3.7
Almelo,51.5,3.4
Almere,42.4,9.6
Alphen aan den Rijn,24.0,2.6
Alphen-Chaam,18.1,0.1
Altena,18.2,1.0
Ameland,12.2,0.0
Amersfoort,30.3,5.0
Amstelveen,27.2,2.4
Amsterdam,70.2,47.699999999999996
Anna Paulowna,0.0,0.0
Apeldoorn,32.8,4.9
Appingedam,0.0,0.0
Arnhem,57.3,8.1
Assen,39.0,2.6
Asten,18.5,0.2
Baarle-Nassau,24.7,0.1
Baarn,25.6,0.6
Barendrecht,20.3,1.0
Barneveld,16.8,1.3
Bedum,0.0,0.0
Beek (L.),38.3,0.5
Beekdaelen,30.9,0.8
Beemster,17.6,0.1
Beesel,41.0,0.5
Bellingwedde,0.0,0.0
Berg en Dal,33.9,1.0
Bergambacht,0.0,0.0
Bergeijk,16.6,0.1
Bergen (L.),25.9,0.1
Bergen (NH.),22.5,0.5
Bergen op Zoom,48.3,2.8
Berkelland,24.3,1.0
Bernheze,18.9,0.6
Bernisse,0.0,0.0
Best,23.3,0.6
Beuningen,24.9,0.6
Beverwijk,42.0,1.6
Binnenmaas,0.0,0.0
Bladel,16.0,0.30000000000000004
Blaricum,20.900000000000002,0.2
Bloemendaal,15.6,0.5
Boarnsterhim,0.0,0.0
Bodegraven-Reeuwijk,19.7,0.7000000000000001
Boekel,16.4,0.1
Borger-Odoorn,29.099999999999998,0.6
Borne,19.3,0.5
Borsele,17.7,0.5
Boskoop,0.0,0.0
Boxmeer,26.4,0.6
Boxtel,30.6,0.8
Breda,36.5,6.1
Brielle,26.6,0.5
Bronckhorst,18.6,0.6
Brummen,25.799999999999997,0.5
Brunssum,52.1,1.0
Bunnik,13.6,0.1
Bunschoten,17.299999999999997,0.5
Buren,22.5,0.6
Bussum,0.0,0.0
Capelle aan den IJssel,51.7,3.2
Castricum,17.9,0.6
Coevorden,39.3,1.2
Cranendonck,24.6,0.5
Cromstrijen,0.0,0.0
Cuijk,29.9,0.6
Culemborg,26.0,0.7000000000000001
Dalfsen,15.399999999999999,0.5
Dantumadiel,27.8,0.6
De Bilt,27.0,1.2
De Friese Meren,0.0,0.0
De Fryske Marren,23.2,1.2
De Marne,0.0,0.0
De Ronde Venen,24.799999999999997,1.0
De Wolden,22.3,0.5
Delft,55.8,4.1
Delfzijl,0.0,0.0
Den Helder,53.7,2.4
Deurne,23.9,0.7000000000000001
Deventer,40.7,3.8
Diemen,38.1,1.0
Dijk en Waard,0.0,0.0
Dinkelland,16.3,0.5
Dirksland,0.0,0.0
Doesburg,56.0,0.5
Doetinchem,36.7,2.0
Dongen,24.0,0.6
Dongeradeel,0.0,0.0
Dordrecht,47.3,5.0
Drechterland,23.4,0.5
Drimmelen,19.7,0.5
Dronten,28.4,1.2
Druten,23.6,0.5
Duiven,26.6,0.6
Echt-Susteren,33.1,0.7000000000000001
Edam-Volendam,19.9,0.6
Ede,22.2,2.8
Eemnes,18.6,0.1
Eemsdelta,59.7,2.2
Eemsmond,0.0,0.0
Eersel,15.9,0.2
Eijsden-Margraten,15.700000000000001,0.30000000000000004
Eindhoven,48.9,9.3
Elburg,25.2,0.6
Emmen,46.3,4.2
Enkhuizen,34.7,0.6
Enschede,59.300000000000004,8.1
Epe,26.3,0.7000000000000001
Ermelo,25.0,0.6
Etten-Leur,29.6,1.2
Ferwerderadiel,0.0,0.0
Franekeradeel,0.0,0.0
Gaasterlân-Sleat,0.0,0.0
Geertruidenberg,36.0,0.7000000000000001
Geldermalsen,0.0,0.0
Geldrop-Mierlo,30.0,1.1
Gemert-Bakel,25.8,0.7000000000000001
Gennep,25.8,0.5
Giessenlanden,0.0,0.0
