Id,crimes_count,region,year
1482,805,GM1680,2010JJ00
1488,945,GM1680,2011JJ00
1494,940,GM1680,2012JJ00
1500,785,GM1680,2013JJ00
1506,680,GM1680,2014JJ00
1512,645,GM1680,2015JJ00
1518,620,GM1680,2016JJ00
1524,550,GM1680,2017JJ00
1530,545,GM1680,2018JJ00
1536,670,GM1680,2019JJ00
1542,625,GM1680,2020JJ00
1548,620,GM1680,2021JJ00
1554,655,GM1680,2022JJ00
1560,470,GM0738,2010JJ00
1566,490,GM0738,2011JJ00
1572,500,GM0738,2012JJ00
1578,435,GM0738,2013JJ00
1584,425,GM0738,2014JJ00
1590,385,GM0738,2015JJ00
1596,340,GM0738,2016JJ00
1602,275,GM0738,2017JJ00
1608,255,GM0738,2018JJ00
1638,1405,GM0358,2010JJ00
1644,1480,GM0358,2011JJ00
1650,1220,GM0358,2012JJ00
1656,1280,GM0358,2013JJ00
1662,1210,GM0358,2014JJ00
1668,1100,GM0358,2015JJ00
1674,1195,GM0358,2016JJ00
1680,1215,GM0358,2017JJ00
1686,1135,GM0358,2018JJ00
1692,1095,GM0358,2019JJ00
1698,1135,GM0358,2020JJ00
1704,1020,GM0358,2021JJ00
1710,1015,GM0358,2022JJ00
1716,905,GM0197,2010JJ00
1722,775,GM0197,2011JJ00
1728,700,GM0197,2012JJ00
1734,685,GM0197,2013JJ00
1740,685,GM0197,2014JJ00
1746,615,GM0197,2015JJ00
1752,635,GM0197,2016JJ00
1758,530,GM0197,2017JJ00
1764,505,GM0197,2018JJ00
1770,580,GM0197,2019JJ00
1776,560,GM0197,2020JJ00
1782,505,GM0197,2021JJ00
1788,535,GM0197,2022JJ00
1794,550,GM0305,2010JJ00
1872,935,GM0059,2010JJ00
1878,950,GM0059,2011JJ00
1884,805,GM0059,2012JJ00
1890,725,GM0059,2013JJ00
1896,770,GM0059,2014JJ00
1902,735,GM0059,2015JJ00
1908,760,GM0059,2016JJ00
1914,650,GM0059,2017JJ00
1920,685,GM0059,2018JJ00
1926,695,GM0059,2019JJ00
1932,695,GM0059,2020JJ00
1938,640,GM0059,2021JJ00
1944,605,GM0059,2022JJ00
1950,790,GM0482,2010JJ00
1956,885,GM0482,2011JJ00
1962,855,GM0482,2012JJ00
1968,775,GM0482,2013JJ00
1974,765,GM0482,2014JJ00
1980,840,GM0482,2015JJ00
1986,735,GM0482,2016JJ00
1992,685,GM0482,2017JJ00
1998,590,GM0482,2018JJ00
2004,615,GM0482,2019JJ00
2010,770,GM0482,2020JJ00
2016,600,GM0482,2021JJ00
2022,530,GM0482,2022JJ00
2028,1035,GM0613,2010JJ00
2034,1205,GM0613,2011JJ00
2040,1185,GM0613,2012JJ00
2046,1185,GM0613,2013JJ00
2052,1050,GM0613,2014JJ00
2058,1120,GM0613,2015JJ00
2064,1025,GM0613,2016JJ00
2070,965,GM0613,2017JJ00
2076,975,GM0613,2018JJ00
2082,1115,GM0613,2019JJ00
2088,1185,GM0613,2020JJ00
2094,975,GM0613,2021JJ00
2100,1005,GM0613,2022JJ00
2106,9575,GM0361,2010JJ00
2112,9480,GM0361,2011JJ00
2118,8640,GM0361,2012JJ00
2124,8100,GM0361,2013JJ00
2130,7860,GM0361,2014JJ00
2136,7525,GM0361,2015JJ00
2142,6960,GM0361,2016JJ00
2148,5825,GM0361,2017JJ00
2154,5395,GM0361,2018JJ00
2160,5435,GM0361,2019JJ00
2166,5600,GM0361,2020JJ00
2172,5075,GM0361,2021JJ00
2178,5965,GM0361,2022JJ00
2184,5005,GM0141,2010JJ00
2190,4895,GM0141,2011JJ00
2196,5240,GM0141,2012JJ00
2202,5305,GM0141,2013JJ00
2208,4495,GM0141,2014JJ00
2214,4120,GM0141,2015JJ00
2220,3995,GM0141,2016JJ00
2226,3900,GM0141,2017JJ00
2232,3550,GM0141,2018JJ00
2238,3705,GM0141,2019JJ00
2244,3805,GM0141,2020JJ00
2250,3640,GM0141,2021JJ00
2256,4335,GM0141,2022JJ00
2262,13930,GM0034,2010JJ00
2268,14590,GM0034,2011JJ00
2274,14495,GM0034,2012JJ00
2280,15255,GM0034,2013JJ00
2286,13385,GM0034,2014JJ00
2292,11915,GM0034,2015JJ00
2298,11360,GM0034,2016JJ00
2304,10040,GM0034,2017JJ00
2310,10075,GM0034,2018JJ00
2316,10450,GM0034,2019JJ00
2322,10190,GM0034,2020JJ00
2328,8820,GM0034,2021JJ00
2334,9030,GM0034,2022JJ00
2340,4650,GM0484,2010JJ00
2346,4765,GM0484,2011JJ00
2352,4610,GM0484,2012JJ00
2358,3995,GM0484,2013JJ00
2364,4790,GM0484,2014JJ00
2370,4480,GM0484,2015JJ00
2376,4245,GM0484,2016JJ00
2382,3730,GM0484,2017JJ00
2388,3745,GM0484,2018JJ00
2394,4055,GM0484,2019JJ00
2400,4430,GM0484,2020JJ00
2406,4265,GM0484,2021JJ00
2412,4160,GM0484,2022JJ00
2418,415,GM1723,2010JJ00
2424,470,GM1723,2011JJ00
2430,575,GM1723,2012JJ00
2436,560,GM1723,2013JJ00
2442,430,GM1723,2014JJ00
2448,435,GM1723,2015JJ00
2454,330,GM1723,2016JJ00
2460,275,GM1723,2017JJ00
2466,265,GM1723,2018JJ00
2472,285,GM1723,2019JJ00
2478,300,GM1723,2020JJ00
2484,300,GM1723,2021JJ00
2490,285,GM1723,2022JJ00
2550,1570,GM1959,2019JJ00
2556,1810,GM1959,2020JJ00
2562,1500,GM1959,2021JJ00
2568,1515,GM1959,2022JJ00
2574,220,GM0060,2010JJ00
2580,165,GM0060,2011JJ00
2586,190,GM0060,2012JJ00
2592,150,GM0060,2013JJ00
2598,145,GM0060,2014JJ00
2604,135,GM0060,2015JJ00
2610,140,GM0060,2016JJ00
2616,110,GM0060,2017JJ00
2622,105,GM0060,2018JJ00
2628,105,GM0060,2019JJ00
2634,95,GM0060,2020JJ00
2640,95,GM0060,2021JJ00
2646,110,GM0060,2022JJ00
2652,11155,GM0307,2010JJ00
2658,10495,GM0307,2011JJ00
2664,10740,GM0307,2012JJ00
2670,10655,GM0307,2013JJ00
2676,9385,GM0307,2014JJ00
2682,8925,GM0307,2015JJ00
2688,8505,GM0307,2016JJ00
2694,7640,GM0307,2017JJ00
2700,7490,GM0307,2018JJ00
2706,7620,GM0307,2019JJ00
2712,7475,GM0307,2020JJ00
2718,6450,GM0307,2021JJ00
2724,7225,GM0307,2022JJ00
2730,5270,GM0362,2010JJ00
2736,5135,GM0362,2011JJ00
2742,5105,GM0362,2012JJ00
2748,5115,GM0362,2013JJ00
2754,4230,GM0362,2014JJ00
2760,4360,GM0362,2015JJ00
2766,4280,GM0362,2016JJ00
2772,4150,GM0362,2017JJ00
2778,4025,GM0362,2018JJ00
2784,3865,GM0362,2019JJ00
2790,4015,GM0362,2020JJ00
2796,3665,GM0362,2021JJ00
2802,3645,GM0362,2022JJ00
2808,100125,GM0363,2010JJ00
2814,103375,GM0363,2011JJ00
2820,101505,GM0363,2012JJ00
2826,101650,GM0363,2013JJ00
2832,96475,GM0363,2014JJ00
2838,96185,GM0363,2015JJ00
2844,91695,GM0363,2016JJ00
2850,86745,GM0363,2017JJ00
2856,81885,GM0363,2018JJ00
2862,82040,GM0363,2019JJ00
2868,71430,GM0363,2020JJ00
2874,64890,GM0363,2021JJ00
2880,76605,GM0363,2022JJ00
2886,310,GM0364,2010JJ00
2964,535,GM0366,2010JJ00
2970,525,GM0366,2011JJ00
3042,11680,GM0200,2010JJ00
3048,12225,GM0200,2011JJ00
3054,11745,GM0200,2012JJ00
3060,10830,GM0200,2013JJ00
3066,10165,GM0200,2014JJ00
3072,8915,GM0200,2015JJ00
3078,8305,GM0200,2016JJ00
3084,7360,GM0200,2017JJ00
3090,7240,GM0200,2018JJ00
3096,7255,GM0200,2019JJ00
3102,7670,GM0200,2020JJ00
